% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.255994066e+02 +3.255994066e+02 +2.732494066e+02 +2.732494066e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +1.357757448e+02 +1.357757448e+02 +8.342574479e+01 +8.342574479e+01 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
4 +6.005930798e+01 +6.005930798e+01 +7.709307978e+00 +7.709307978e+00 -1.5768e+00 -4.4066e+00 -3.7784e+00 -4.7071e+00 -2.7482e+00 +1.4017e+00 -7.5121e-01 -4.2133e+00 -2.6142e+00 -4.7088e+00 -1.0543e+00 +1.0264e+00 +3.1087e+00 +3.5881e+00 -1.3424e+00 +2.1166e+00 -3.0815e+00 +2.4587e-01 +4.3025e+00 -2.3845e-01
183 +3.610471408e+01 +3.610471408e+01 -1.624528592e+01 -1.624528592e+01 +2.6311e+00 +6.9962e-02 -6.0882e-01 -3.3988e+00 +1.4801e+00 -3.5385e+00 -2.2959e+00 -4.7393e+00 +2.0522e+00 -5.0697e-01 -2.8294e+00 -8.6893e-01 -3.0231e+00 -3.9029e-01 -4.4029e+00 -4.0260e+00 -1.7101e-01 -3.3912e+00 +4.0470e+00 -4.5768e+00
593 +2.320897084e+01 +2.320897084e+01 -2.914102916e+01 -2.914102916e+01 -3.2113e-01 +2.9039e+00 +1.9640e+00 +1.6608e+00 -2.5310e+00 +3.9526e+00 -6.3700e-01 -6.8355e-01 +1.8444e+00 -1.6111e+00 -4.9719e-01 +3.1859e+00 +7.6905e-01 -6.0615e-01 -6.8609e-01 -1.7822e+00 -4.0496e+00 +1.5134e+00 +1.5597e+00 -1.8752e+00
2610 +1.579659048e+01 +1.579659048e+01 -3.655340952e+01 -3.655340952e+01 +1.8032e+00 -4.0181e+00 +5.5124e-01 -3.2577e+00 -4.1797e+00 +2.5405e+00 -1.2587e+00 -1.4372e+00 +1.5998e+00 -6.4828e-01 -1.4296e+00 -2.9263e-01 -3.5584e-01 -1.0242e-02 -1.6201e+00 -2.8956e+00 -2.4677e+00 +4.9167e-01 +4.4761e+00 -3.1339e+00
3210 +9.467184472e+00 +9.467184472e+00 -4.288281553e+01 -4.288281553e+01 -2.9902e-01 -2.2728e+00 +1.8855e+00 -1.1354e+00 -2.2661e+00 +2.4439e+00 -8.8319e-01 -2.1548e+00 +1.2283e+00 -3.7982e+00 +1.1932e-01 +1.7204e-01 +1.2773e+00 -8.9680e-01 -1.4666e+00 +6.5512e-01 -1.8197e+00 +2.7645e-02 +2.5224e+00 -3.5437e+00
4248 +4.579707161e+00 +4.579707161e+00 -4.777029284e+01 -4.777029284e+01 -1.1065e+00 -2.0320e+00 +3.5778e+00 -1.7167e+00 -1.9484e+00 +1.4106e+00 -2.7639e+00 -1.3287e+00 +2.3579e+00 -1.5075e+00 +1.1441e+00 +2.7908e-01 +2.2683e+00 -1.4224e+00 -3.0368e+00 +4.8649e-01 -7.3654e-01 +1.4875e+00 +3.2372e+00 -4.1728e+00
5590 +3.548134743e+00 +3.548134743e+00 -4.880186526e+01 -4.880186526e+01 -1.2676e+00 -6.8811e-01 +1.8208e+00 -3.7172e+00 -2.1943e+00 +3.3916e+00 -3.7982e+00 -8.0783e-01 +2.9242e+00 -1.4240e+00 +2.2556e+00 -7.2589e-01 +4.7894e+00 -2.2907e-02 -1.3810e+00 +3.6283e-01 -2.2709e+00 +3.9105e-01 +3.2603e+00 -3.9314e+00
6580 +2.357116986e+00 +2.357116986e+00 -4.999288301e+01 -4.999288301e+01 -1.5684e+00 -1.6717e+00 +2.8401e+00 -2.9518e+00 -1.9294e+00 +3.3305e+00 -2.6656e+00 -4.4299e-01 +2.7717e+00 -2.2598e+00 +2.2132e+00 -4.6514e-01 +3.2713e+00 -1.0060e+00 -2.1017e+00 +5.2354e-01 -1.6757e+00 +6.7100e-01 +3.8416e+00 -4.5511e+00
8415 +1.328971866e+00 +1.328971866e+00 -5.102102813e+01 -5.102102813e+01 -8.0202e-01 -8.5592e-01 +2.8161e+00 -2.9082e+00 -1.4663e+00 +3.9923e+00 -3.0072e+00 -4.6950e-01 +3.1881e+00 -1.2664e+00 +3.1293e+00 -4.7813e-01 +4.0473e+00 -6.9481e-01 -2.1206e+00 +1.1070e+00 -1.0364e+00 +1.0572e+00 +3.8386e+00 -4.1229e+00
9150 +9.538523114e-01 +9.538523114e-01 -5.139614769e+01 -5.139614769e+01 -1.1190e+00 -1.0072e+00 +2.6561e+00 -2.1594e+00 -1.4738e+00 +2.7597e+00 -3.7907e+00 -2.8045e-01 +3.4289e+00 -2.1487e+00 +2.5913e+00 +2.1991e-01 +3.6884e+00 -8.3853e-01 -2.2498e+00 +8.8770e-01 -1.2964e+00 +1.5905e+00 +2.5886e+00 -3.8551e+00
