% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.378654171e+02 +9.378654171e+02 +1.040475417e+03 +1.040475417e+03 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
19 +5.982984903e+02 +5.982984903e+02 +7.009084903e+02 +7.009084903e+02 +2.4163e+00 -2.1962e+00 -3.1569e-01 -1.3604e+00 +4.6871e+00 -1.1555e+00 +6.0504e-02 +1.0997e+00 +2.0984e+00 -3.2891e+00 -2.1897e+00 +7.8516e-01 +2.5235e+00 -2.2236e+00 +1.0358e+00 -1.7625e+00 +4.2154e+00 +4.3564e+00 +2.0321e+00 +2.6101e+00
1180 +3.819608747e+02 +3.819608747e+02 +4.845708747e+02 +4.845708747e+02 +5.1993e-01 +2.4946e+00 -3.0937e+00 +1.7395e+00 +2.9977e-02 -1.4504e+00 -3.8342e+00 +1.9994e+00 +8.3083e-02 -1.0252e+00 +1.5591e+00 +4.5938e-01 -2.5262e+00 +1.0489e+00 -6.6223e-01 -3.3248e-01 -2.3272e+00 -3.3313e+00 +1.3793e+00 +3.1692e+00
2368 +2.367230334e+02 +2.367230334e+02 +3.393330334e+02 +3.393330334e+02 +3.4970e-01 -2.2019e-01 -1.0850e+00 +6.5119e-01 -1.8832e+00 +5.6594e-02 +5.6740e-01 -1.4785e+00 -1.7876e+00 +1.0113e+00 -1.0068e+00 +7.3916e-01 -1.9857e+00 +3.1636e+00 -2.3955e+00 -3.6394e-01 +3.2096e-01 -1.6224e+00 +5.0053e-01 +1.6809e+00
11903 +1.503881359e+02 +1.503881359e+02 +2.529981359e+02 +2.529981359e+02 +4.2729e-02 +1.6555e+00 -1.7369e+00 +9.9214e-01 -1.0049e+00 -1.0439e+00 -9.4506e-01 -1.3024e+00 -1.2616e+00 +1.1319e+00 -4.0459e-01 -2.4867e-01 -1.4186e+00 +1.6853e+00 -1.7225e+00 -1.6513e+00 -1.0717e+00 -1.1359e+00 +5.2563e-01 +1.7990e+00
199193 +9.974036119e+01 +9.974036119e+01 +2.023503612e+02 +2.023503612e+02 +1.4404e+00 +1.1521e+00 -1.2438e+00 +1.2113e+00 -2.1044e+00 -4.1261e-01 -3.0081e-01 -7.0840e-01 -1.3333e+00 +1.2069e+00 -1.3120e+00 -6.6444e-01 -1.2529e+00 +5.7703e-01 -1.2853e+00 -8.1374e-01 -1.1705e+00 -1.7463e+00 +1.4543e+00 +1.4289e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.895979834e+02 +8.895979834e+02 +9.828979834e+02 +9.828979834e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
27 +5.568205037e+02 +5.568205037e+02 +6.501205037e+02 +6.501205037e+02 -7.4885e-01 +2.6024e+00 -6.1863e-01 +1.1968e-01 -4.7632e+00 +1.7844e+00 +1.4730e+00 -3.0265e+00 +3.3349e-01 +1.4780e-01 +1.1894e+00 +2.0468e+00 -3.6969e+00 -9.7148e-01 -2.5598e+00 -2.0258e+00 +2.7407e+00 +6.0303e-01 -5.7738e-01 -2.6331e+00
1117 +3.567298254e+02 +3.567298254e+02 +4.500298254e+02 +4.500298254e+02 +2.0193e-01 -2.7547e+00 +3.6644e-01 -2.2251e+00 -2.2281e+00 +1.0084e+00 -3.4030e+00 -4.5255e-01 +7.0454e-01 -2.7528e+00 +1.3165e+00 +3.4014e+00 +1.0647e+00 +5.9824e-02 -1.6485e+00 +3.9696e+00 -1.6259e+00 +1.5783e+00 -3.1499e+00 -5.9720e-01
3010 +1.843720164e+02 +1.843720164e+02 +2.776720164e+02 +2.776720164e+02 -6.3451e-01 +5.1153e-01 +5.1582e-01 +1.1704e+00 +1.4421e+00 -2.1557e+00 +1.2324e+00 -1.8589e+00 +1.8354e+00 -3.4685e-01 -1.6317e+00 +9.8436e-01 -1.2402e+00 -1.4605e+00 -1.8243e-01 +8.8829e-02 +8.2657e-01 -1.2484e+00 +3.1842e+00 +8.0751e-01
11157 +1.565890991e+02 +1.565890991e+02 +2.498890991e+02 +2.498890991e+02 +3.1723e+00 -1.3057e+00 -2.9228e-02 -1.6790e+00 -7.9105e-01 +5.4294e-01 -1.7124e+00 -2.2455e-01 -4.6905e-01 -8.3549e-01 +1.0434e+00 +2.0765e+00 +1.4771e+00 +5.1607e-01 -5.9500e-01 -2.2380e+00 -1.1271e+00 +1.9075e+00 -1.9251e+00 -1.4105e+00
59753 +9.871828446e+01 +9.871828446e+01 +1.920182845e+02 +1.920182845e+02 -7.6526e-01 +1.1162e+00 +1.4122e+00 +1.1466e+00 +1.1681e+00 -1.0497e+00 +1.8016e+00 -2.0355e+00 +4.0507e-01 +1.3742e+00 -1.2507e+00 -1.4394e+00 -1.7424e+00 -7.3995e-01 +1.6547e+00 +1.1865e+00 +1.1106e+00 -2.0367e+00 +1.2530e+00 +8.2789e-01
1898044 +6.232316840e+01 +6.232316840e+01 +1.556231684e+02 +1.556231684e+02 -1.0655e+00 +1.3896e+00 +1.3238e+00 +7.9595e-01 +1.1345e+00 -1.1636e+00 +1.5819e+00 -1.0884e+00 +1.2606e+00 +1.3119e+00 -1.4909e+00 -1.4561e+00 -8.8337e-01 -9.5620e-01 +1.5277e+00 +9.3479e-01 +1.0527e+00 -1.2847e+00 +7.8482e-01 +6.5200e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.692340076e+02 +6.692340076e+02 +6.828740076e+02 +6.828740076e+02 -4.7518e+00 +3.4190e+00 +4.9726e+00 +7.8123e-02 +4.9552e+00 -3.2494e+00 +1.4763e+00 +3.9039e+00 -4.0982e+00 -1.9670e+00 +1.6766e-01 -2.2473e+00 +3.4143e+00 -1.9282e+00 +2.0343e+00 +3.4351e+00 -4.2410e+00 -2.1758e+00 +2.0232e+00 +1.7815e+00
2 +6.243304204e+02 +6.243304204e+02 +6.379704204e+02 +6.379704204e+02 +2.1706e-01 -2.1019e+00 -3.4714e+00 +3.3948e+00 -2.2359e+00 -2.6484e+00 -3.3639e+00 -3.5329e+00 +4.5703e+00 -3.8085e+00 -1.1039e+00 -2.1638e+00 +6.6075e-02 -3.5801e+00 +2.7993e+00 -1.4197e-01 +1.5159e+00 -1.6019e+00 -4.0518e-01 +2.8696e+00
572 +3.933066094e+02 +3.933066094e+02 +4.069466094e+02 +4.069466094e+02 -2.3640e+00 +3.1386e-01 +9.4809e-01 +6.6173e-01 +2.2385e-03 +1.3451e+00 -3.2234e+00 +1.2687e+00 -3.2197e-01 -8.6536e-01 +2.8883e+00 +1.8576e+00 +2.0829e+00 -1.2046e+00 -1.9182e-01 -8.1667e-01 -3.5972e+00 -1.4677e+00 -1.9065e+00 +2.2461e+00
