% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.011049114e+02 +1.011049114e+02 +1.724549114e+02 +1.724549114e+02 +6.4837e-01 -2.9532e+00 -2.9290e+00 -1.3693e+00 -1.6487e+00 -2.7233e+00 -1.5505e+00 +2.7868e+00 +5.0645e-02 +5.2536e-01 +1.1062e+00 +3.6409e+00 +1.9931e+00 -2.9530e+00 -1.6147e+00 +3.0184e+00 -2.3528e+00 +3.7430e+00 -2.7000e+00 -2.2912e+00
4 +6.739085225e+01 +6.739085225e+01 +1.387408523e+02 +1.387408523e+02 +5.3390e+00 -2.3280e+00 +2.6393e-01 -1.4922e-01 +2.9118e+00 -2.4581e+00 +7.9888e-01 +3.4862e+00 -1.9567e+00 -6.7045e-01 +3.1204e+00 +6.6868e+00 +2.9795e+00 -4.0122e+00 -1.7764e+00 +1.8875e+00 +1.1516e+00 +3.1194e+00 -5.1055e+00 -1.4983e+00
5 +5.260718831e+01 +5.260718831e+01 +1.239571883e+02 +1.239571883e+02 +1.0756e+00 -5.4706e+00 -6.0878e+00 -2.0108e+00 +2.5040e+00 +2.5151e-01 -2.9943e+00 +4.3989e+00 +1.8029e+00 -3.0230e-02 +1.5218e+00 +1.5187e+00 +2.4739e+00 -6.7592e-01 -1.7975e+00 +2.7073e+00 -3.9314e+00 +3.6103e+00 -3.7194e+00 -1.8381e+00
89 +3.648666059e+01 +3.648666059e+01 +1.078366606e+02 +1.078366606e+02 +5.2381e+00 -1.1625e+00 -1.0575e+00 +2.0046e+00 +4.5414e-01 +4.1043e-01 -7.4868e-01 +8.6355e-01 -2.8703e+00 -2.7332e-01 -6.0609e-01 +2.6129e+00 +4.5568e+00 -1.4079e+00 -1.4884e+00 +3.1369e+00 -3.5750e+00 +3.0442e-01 -2.9982e+00 -5.1060e+00
1930 +2.437365521e+01 +2.437365521e+01 +9.572365521e+01 +9.572365521e+01 +5.4166e+00 +1.0909e+00 +5.2248e+00 +4.0544e+00 -3.0365e+00 +6.0968e+00 -2.1085e-01 -1.2546e+00 -2.3130e+00 +1.1877e+00 -8.4471e+00 +2.4041e+00 +2.5416e+00 +4.8391e+00 -7.1174e+00 +5.7768e-01 -6.6146e+00 +2.8004e+00 +5.5708e+00 -2.6000e+00
2288 +1.571827643e+01 +1.571827643e+01 +8.706827643e+01 +8.706827643e+01 +5.3390e+00 +1.1875e+00 +5.2329e+00 +4.2568e+00 -4.4044e+00 +6.3924e+00 -5.1325e-01 -1.7556e+00 -2.5192e+00 +1.1472e+00 -8.2098e+00 +1.6678e+00 +2.8048e+00 +4.8643e+00 -7.0402e+00 +4.0237e-01 -6.3443e+00 +3.9730e+00 +5.5314e+00 -2.5728e+00
2596 +9.619472652e+00 +9.619472652e+00 +8.096947265e+01 +8.096947265e+01 +5.9723e+00 +9.1774e-01 +5.8680e+00 +4.3778e+00 -4.3786e+00 +6.2164e+00 -5.9696e-01 -1.5309e+00 -2.5618e+00 +1.3443e+00 -7.4467e+00 +1.5164e+00 +2.6516e+00 +4.6788e+00 -6.6203e+00 +6.6753e-01 -5.8498e+00 +4.1593e+00 +5.2928e+00 -2.7275e+00
3439 +6.280807209e+00 +6.280807209e+00 +7.763080721e+01 +7.763080721e+01 +6.0529e+00 +8.0787e-01 +5.7612e+00 +4.3656e+00 -4.6570e+00 +6.2987e+00 -4.9388e-01 -1.5453e+00 -2.5875e+00 +1.3537e+00 -7.2305e+00 +1.6147e+00 +2.6576e+00 +4.6643e+00 -6.6390e+00 +8.3715e-01 -5.3432e+00 +4.0733e+00 +5.3910e+00 -2.7378e+00
27356 +3.978214959e+00 +3.978214959e+00 +7.532821496e+01 +7.532821496e+01 +6.4395e+00 +1.0444e+00 +1.4546e-01 -6.3480e-01 -4.0398e-01 -1.7042e+00 -6.3080e-01 -1.9849e+00 -4.4811e+00 +5.6538e+00 -1.4776e-02 -1.3919e+00 +6.3556e+00 +4.1395e-01 +2.9375e+00 -2.7739e+00 +2.5207e-01 +2.9808e+00 -4.3815e+00 -5.5993e+00
61211 +2.123133304e+00 +2.123133304e+00 +7.347313330e+01 +7.347313330e+01 +8.4233e-01 +4.9725e+00 -5.4584e+00 -2.3852e+00 -3.8947e+00 -3.0074e+00 -2.2023e+00 +4.6794e+00 -3.9504e-01 +2.6004e+00 -1.1682e+00 -1.6756e+00 +1.8785e+00 +2.5776e+00 +3.3127e+00 -2.2382e+00 -4.4415e+00 +3.2138e+00 -5.9890e+00 -3.1188e+00
