% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.182012076e+03 +3.182012076e+03 +2.719922076e+03 +2.719922076e+03 -3.7956e-01 +3.0773e+00 +2.1040e+00 -3.5466e+00 +1.9206e+00 +4.4251e-02 -2.8536e+00 -3.5293e-01 -1.5572e+00 -1.5403e+00 +3.7793e+00 +3.1695e+00 +1.8576e+00 +8.7324e-01 -3.3567e+00 +6.6123e-01 -3.3679e+00 -1.9859e+00 +2.1676e+00 -1.3008e+00
8 +2.151217118e+03 +2.151217118e+03 +1.689127118e+03 +1.689127118e+03 +2.5064e-01 +5.0620e+00 +2.0022e+00 -1.2352e+00 +5.2578e-01 +2.5959e-02 -2.3479e+00 +2.3878e+00 -3.3753e+00 -3.6882e+00 +3.1053e+00 +1.7601e+00 +2.3430e+00 -1.5516e+00 -3.5434e+00 +1.9518e+00 -3.5984e+00 +7.4939e-01 +1.6943e-01 +4.0422e-01
15 +1.216577717e+03 +1.216577717e+03 +7.544877173e+02 +7.544877173e+02 +7.7203e-01 +4.0123e+00 +2.9655e+00 -2.2666e+00 +2.7047e+00 -4.2734e-02 -4.3578e+00 -1.1584e+00 -2.9961e+00 -1.0894e+00 +3.5372e+00 -3.2551e+00 +3.6401e+00 -1.2456e+00 -3.5295e+00 -1.4469e+00 -4.5293e+00 +1.4877e+00 -1.5467e+00 +3.0558e+00
26 +9.573907429e+02 +9.573907429e+02 +4.953007429e+02 +4.953007429e+02 -3.4295e-02 +1.7890e+00 +2.5435e+00 +1.2474e+00 +5.1943e-01 -1.7497e+00 -3.0263e+00 -2.5002e+00 -4.2331e+00 -1.6664e+00 +1.5833e+00 -5.3213e-01 +3.6661e+00 -2.2003e+00 -4.7631e+00 -3.7843e+00 -3.7476e+00 +2.2958e+00 -2.8912e+00 +3.1127e-01
106 +5.338205231e+02 +5.338205231e+02 +7.173052312e+01 +7.173052312e+01 -2.4576e+00 +3.6903e+00 +2.1218e+00 -6.8379e-01 +8.2240e+00 -1.3079e+00 -3.7488e+00 -1.6033e+00 -1.2418e+00 -1.4435e+00 -3.3921e+00 -3.0487e+00 -8.8012e-03 -4.7847e+00 -9.4514e-01 -2.8900e+00 +1.3844e-01 +6.7422e-01 -2.3914e+00 +2.0601e-01
153 +3.910180100e+02 +3.910180100e+02 -7.107198999e+01 -7.107198999e+01 -4.3632e+00 +4.3164e+00 +1.4246e+00 +2.7727e+00 +3.8999e+00 +2.0337e+00 -8.1601e-01 +1.5279e+00 -3.4311e-01 -9.4864e-01 -3.3498e+00 -4.3031e+00 -2.8515e+00 -4.7382e+00 +6.4981e-01 -2.5606e+00 +6.7095e-03 +2.4706e+00 -4.9969e+00 +8.2212e-01
355 +2.479614507e+02 +2.479614507e+02 -2.141285493e+02 -2.141285493e+02 -7.7170e+00 -2.2843e+00 +1.6656e+00 +1.0626e+00 +2.3015e+00 -2.4203e-01 +3.9386e+00 +3.4469e+00 +5.8117e-01 +8.0456e-02 -2.2518e+00 -4.8520e+00 -1.2443e+00 -3.6580e+00 -1.3587e+00 -4.3116e+00 +2.0901e-01 +2.0630e+00 -3.0716e+00 +1.5023e+00
1106 +1.512218642e+02 +1.512218642e+02 -3.108681358e+02 -3.108681358e+02 -4.3645e+00 +4.6179e-01 +2.3191e+00 +2.0490e+00 +2.8955e+00 +1.4735e+00 +1.6794e+00 +7.1961e-01 +2.6388e+00 -8.6751e-01 -4.2319e+00 -4.2119e+00 -6.8408e-01 -3.2555e+00 -1.3255e+00 -3.4226e+00 -3.4445e-01 +2.3776e+00 -2.8193e+00 +2.1496e+00
1386 +9.715982048e+01 +9.715982048e+01 -3.649301795e+02 -3.649301795e+02 -4.3714e+00 +7.7290e-01 +2.2408e+00 +2.4164e+00 +2.9836e+00 +1.6128e+00 +1.7751e+00 +7.5613e-01 +2.4577e+00 -5.9855e-01 -3.5059e+00 -4.2338e+00 -1.7230e-01 -2.9743e+00 -1.8377e+00 -3.8857e+00 -7.4106e-01 +2.5872e+00 -2.4662e+00 +1.4075e+00
1624 +6.149917648e+01 +6.149917648e+01 -4.005908235e+02 -4.005908235e+02 -4.3717e+00 +6.2527e-01 +2.2643e+00 +2.5385e+00 +3.0879e+00 +1.4244e+00 +1.8490e+00 +7.5229e-01 +2.3718e+00 -5.5505e-01 -3.4018e+00 -4.2857e+00 -1.4834e-01 -2.9392e+00 -1.7768e+00 -3.9271e+00 -7.3023e-01 +2.5008e+00 -2.1585e+00 +1.5247e+00
