% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.959799896e+02 +3.959799896e+02 +3.867699896e+02 +3.867699896e+02 -2.3308e+00 +3.5209e-01 +1.9208e+00 -3.4419e+00 +2.6712e+00 +4.8005e-02 +3.9457e+00 -4.6150e-01 +2.5387e+00 -2.0549e+00 -2.1797e+00 -4.0308e+00 +1.1107e+00 +3.5554e-01 +4.6871e+00 +4.8341e+00 -6.1204e-01 -2.3197e+00 -5.5469e-02 +4.0310e+00
212 +2.502485976e+02 +2.502485976e+02 +2.410385976e+02 +2.410385976e+02 -2.5922e-01 -7.0863e+00 +6.0951e+00 +2.0760e+00 -3.0155e+00 +6.1517e-01 -2.0428e+00 -3.7943e+00 -1.9993e+00 -3.7064e+00 -3.2833e+00 -4.0320e+00 -2.1306e+00 +1.7683e+00 +1.3171e+00 -2.6830e+00 +3.2035e+00 +4.0976e+00 -2.1272e+00 +4.0878e+00
322 +1.516607943e+02 +1.516607943e+02 +1.424507943e+02 +1.424507943e+02 -6.7944e-01 -2.7063e+00 +8.5163e+00 +1.7996e+00 -5.0858e+00 -5.0917e-01 +8.3627e+00 +7.8848e-01 -3.6000e+00 +4.7537e-01 -5.2359e+00 +3.8294e+00 +6.9692e-01 +3.9384e+00 -6.3897e+00 -3.1136e+00 +7.7527e+00 +4.3484e+00 -7.3707e+00 +6.2337e+00
617 +9.498577128e+01 +9.498577128e+01 +8.577577128e+01 +8.577577128e+01 -3.8865e+00 +3.1438e+00 +2.3390e+00 -1.8980e+00 -4.5152e+00 +2.6008e+00 +3.5993e+00 +6.0357e+00 -3.6896e+00 -8.3325e+00 -6.3362e+00 -1.2427e+00 +4.4860e+00 +1.0819e+01 -1.3929e+00 -9.4466e+00 +4.9685e+00 +4.5734e+00 -5.1970e+00 +7.7564e+00
816 +5.894050644e+01 +5.894050644e+01 +4.973050644e+01 +4.973050644e+01 -6.7913e+00 -1.7097e-01 +8.1296e+00 +3.5494e+00 -7.7219e+00 +4.1574e-01 +1.1099e+01 +1.1754e+01 -5.3254e+00 -7.2503e+00 -3.9291e+00 -7.1816e+00 +5.3603e+00 +8.7851e+00 -5.4105e+00 -1.1808e+01 +6.3982e+00 +6.2223e+00 -5.0713e+00 +5.8302e+00
1191 +3.854845295e+01 +3.854845295e+01 +2.933845295e+01 +2.933845295e+01 -5.4474e-01 +5.7367e+00 +5.1534e+00 +5.0226e+00 -1.1969e+01 +1.9744e-01 +1.4189e+01 +9.3768e+00 +4.0511e+00 -3.2058e+00 -9.2860e+00 -6.8684e-01 +8.4153e+00 +6.2317e+00 -7.5572e+00 -9.9043e+00 +7.1154e+00 +1.2131e+01 -8.4592e+00 +1.2431e+01
1215 +1.709784506e+01 +1.709784506e+01 +7.887845060e+00 +7.887845060e+00 +2.6723e+00 +5.5733e+00 +7.9235e+00 +6.7793e+00 -2.4964e+00 +6.2128e+00 +1.7537e+01 +2.0286e+01 +9.4196e+00 -7.1170e+00 -9.3497e+00 -4.2449e+00 +7.7353e+00 +7.0645e+00 -1.0902e+01 -1.4186e+01 +4.0630e+00 +4.8309e+00 -9.9495e+00 +1.6979e+01
1222 +1.319590014e+01 +1.319590014e+01 +3.985900139e+00 +3.985900139e+00 -4.7623e+00 +1.5669e+01 +5.4633e+00 +9.0596e+00 -7.0002e+00 +7.8158e+00 +1.9903e+01 +2.2097e+01 +4.4914e+00 -5.3007e+00 -9.5790e+00 -5.0864e+00 +1.0456e+01 +4.5670e+00 -6.6350e+00 -9.8073e+00 +5.3118e+00 +8.8176e+00 -8.0661e+00 +8.7139e+00
1459 +8.012910848e+00 +8.012910848e+00 -1.197089152e+00 -1.197089152e+00 -7.5241e-02 +6.4842e+00 +1.1174e+01 +4.8147e+00 -5.8535e+00 +6.0855e+00 +1.8324e+01 +1.1917e+01 +4.2549e+00 -5.9025e+00 -6.2607e+00 -5.2359e+00 +7.4344e+00 +6.7903e+00 -1.3609e+01 -1.1043e+01 +4.8984e+00 +7.6533e+00 -7.8245e+00 +8.6988e+00
2221 +5.907950344e+00 +5.907950344e+00 -3.302049656e+00 -3.302049656e+00 +6.3476e-01 +5.8354e+00 +1.7388e+01 +1.6589e+01 -4.0499e+00 +6.8789e+00 +2.0291e+01 +1.9549e+01 +5.3874e+00 -1.2654e+01 -8.0390e+00 -8.4625e+00 +9.5034e+00 +8.3095e+00 -8.3539e+00 -1.7370e+01 +9.3006e+00 +1.1114e+01 -1.2456e+01 +1.3894e+01
2303 +2.828192281e+00 +2.828192281e+00 -6.381807719e+00 -6.381807719e+00 +2.1718e+00 +1.6587e+01 +1.0525e+01 +6.4216e+00 -7.2269e+00 +1.0173e+01 +2.0630e+01 +1.9451e+01 +6.7567e+00 -1.2063e+01 -1.0294e+01 -7.6288e+00 +6.9004e+00 +9.5319e+00 -6.8207e+00 -1.6443e+01 +1.0676e+01 +1.5291e+01 -1.2157e+01 +1.7637e+01
