% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.230006510e+05 +4.230006510e+05 +4.231244810e+05 +4.231244810e+05 +2.4223e+00 +1.6139e+00 +3.5858e+00 -3.7160e+00 -2.6310e+00 +2.6150e+00 -4.2904e+00 -4.1135e+00 +4.4078e+00 +3.0633e+00 -4.1902e+00 -2.0402e+00 +2.6589e+00 +2.2676e+00 +1.0512e+00 +2.0519e+00 -4.7794e+00 +2.1229e+00 +6.7089e-02 +5.7500e-01
4 +2.398351032e+05 +2.398351032e+05 +2.399589332e+05 +2.399589332e+05 -7.0769e-01 +2.7217e+00 +2.1726e+00 -1.7695e+00 -2.7253e+00 +4.5626e-01 -3.2748e-01 -4.8657e+00 +4.8453e+00 +3.8252e-01 -9.2820e-02 -3.8694e+00 +1.6131e+00 +1.5333e+00 +1.4723e+00 +2.7741e+00 +8.3893e-01 +4.9244e+00 +8.1642e-01 -1.9306e+00
29 +1.484398672e+05 +1.484398672e+05 +1.485636972e+05 +1.485636972e+05 +8.2106e-01 -4.5409e+00 -1.0130e+00 +1.3980e+00 +2.4665e+00 -2.1711e+00 +2.6302e-01 -3.0417e+00 -2.5620e+00 -3.7481e-01 -1.2294e+00 -4.7733e+00 -1.9080e+00 -3.8780e-01 -4.3935e+00 -4.1941e-01 -1.7233e+00 +4.3248e-01 +2.0286e+00 -4.6763e+00
257 +9.011077309e+04 +9.011077309e+04 +9.023460309e+04 +9.023460309e+04 -3.8966e+00 -1.3859e+00 +8.7208e-01 +4.5006e+00 -1.2046e+00 +7.2465e-01 -1.2969e+00 -3.2479e+00 -1.4025e+00 -2.2320e+00 -7.9973e-01 -3.6577e-01 -1.3464e+00 -1.7273e-01 -2.9486e+00 -6.7756e-01 -1.8311e+00 +1.2300e+00 +1.8027e+00 -1.6366e+00
465 +4.215190424e+04 +4.215190424e+04 +4.227573424e+04 +4.227573424e+04 -2.9242e-01 -1.0498e-01 +1.9843e+00 +2.4136e+00 +1.4537e+00 +1.7502e+00 -5.0540e-01 -2.2755e+00 -4.8206e+00 -6.3310e-01 -2.4797e+00 -1.4490e+00 -7.0277e-01 +2.2951e+00 +2.2926e+00 -3.5925e+00 +2.2380e-01 +2.9704e+00 +4.2886e+00 -2.8617e+00
671 +3.752685726e+04 +3.752685726e+04 +3.765068726e+04 +3.765068726e+04 -1.6160e+00 +6.3716e-01 +1.5351e+00 +2.5336e-01 -4.9637e-01 +2.4791e+00 -4.4317e-01 -1.9849e+00 -2.8471e+00 -7.4535e-01 +6.1121e-01 -1.3325e+00 +1.1572e+00 -1.1723e+00 -9.7885e-01 +5.8091e-01 +8.4574e-01 -2.6540e+00 -4.8001e-01 -1.2820e+00
794 +2.142358057e+04 +2.142358057e+04 +2.154741057e+04 +2.154741057e+04 -2.3983e+00 +1.9422e+00 +7.8639e-01 +9.6699e-01 -9.2771e-01 -1.3066e+00 +1.3837e+00 -9.3286e-01 -2.5823e+00 +2.0119e+00 -1.7687e-01 -2.0607e+00 -1.6346e+00 +2.0686e+00 -2.4039e+00 +1.6330e+00 -1.8635e+00 +1.1860e+00 -8.0434e-01 -1.2121e+00
1352 +8.452008746e+03 +8.452008746e+03 +8.575838746e+03 +8.575838746e+03 -1.5160e+00 -1.7397e+00 -4.1436e-02 -9.5275e-02 +1.3518e+00 -1.2740e+00 +1.8873e+00 -1.0523e+00 -2.1561e+00 -1.3709e+00 -9.4106e-01 +2.8292e-01 +5.3134e-01 -1.0250e+00 -9.2468e-02 -4.7420e-01 +5.3770e-01 -1.0616e+00 -3.5574e-01 +2.5956e-01
2462 +5.146847973e+03 +5.146847973e+03 +5.270677973e+03 +5.270677973e+03 -6.0647e-01 +2.8174e+00 -1.6756e+00 +7.6523e-01 -2.3842e-01 +4.9133e-01 +1.3719e+00 -2.6605e-01 -1.1478e+00 +1.1262e+00 +4.0629e-01 -9.0520e-01 +1.1968e+00 -1.2634e+00 +1.8659e-01 -1.2824e+00 -2.8218e+00 +1.6606e+00 -2.0707e-01 +2.1934e-01
2822 +3.560712575e+03 +3.560712575e+03 +3.684542575e+03 +3.684542575e+03 -8.3934e-01 +1.4190e+00 -1.4180e-01 +1.1338e+00 -1.2151e-02 +8.4632e-01 +1.6659e+00 +5.9074e-01 +1.2668e+00 -3.4721e-01 -3.4898e-01 +1.1730e+00 -1.2186e+00 +9.0844e-01 +9.3075e-01 -1.7761e+00 -1.5548e+00 +1.6353e-01 +2.5615e-01 -6.0687e-01
3497 +2.484618460e+03 +2.484618460e+03 +2.608448460e+03 +2.608448460e+03 -9.1081e-02 +1.0314e+00 -2.4834e-01 -1.9462e-01 +1.3214e-02 -6.2063e-01 +8.9896e-01 -6.6306e-01 +3.7498e-02 -4.2464e-01 +1.9098e-01 +6.9384e-01 +1.0071e+00 -2.8128e-01 -1.4175e-01 -1.1524e+00 +1.8387e+00 -4.3726e-01 +1.5363e-01 -5.1019e-02
3628 +1.310748771e+03 +1.310748771e+03 +1.434578771e+03 +1.434578771e+03 -1.9787e-01 +7.2312e-01 +8.1573e-01 -2.1964e-01 -7.3199e-01 +3.5131e-01 +1.3857e+00 -1.1142e+00 +3.6435e-02 -7.2960e-01 -1.1081e+00 -1.1464e+00 -3.5035e-02 -2.6550e-01 +1.0814e+00 -6.0222e-01 -7.4536e-02 +4.8012e-01 +7.8196e-01 -7.5359e-01
4132 +9.821335147e+02 +9.821335147e+02 +1.105963515e+03 +1.105963515e+03 -5.7630e-01 +6.5204e-01 +2.1443e-01 +2.8037e-01 -1.7262e-01 +9.3950e-01 +1.0686e+00 -8.6391e-01 -1.5022e-01 -1.0840e+00 -1.5516e+00 -2.1526e+00 -6.4115e-01 +8.4196e-02 +1.5265e+00 +6.4789e-01 +1.1716e-01 +3.0412e-01 +1.6244e-01 -1.0259e+00
4225 +4.934123941e+02 +4.934123941e+02 +6.172423941e+02 +6.172423941e+02 -4.5314e-01 +1.6031e+00 -2.1223e-02 +2.4338e-01 -7.7428e-01 +3.4911e-01 +1.0842e+00 +1.6757e-01 -4.9023e-01 -3.9314e-01 +9.4373e-02 -2.2208e-01 +4.4634e-01 +4.0239e-01 +8.5952e-01 -7.9597e-01 -1.5175e-01 -2.0654e-01 -5.3565e-01 -2.2725e-01
5029 +2.908849431e+02 +2.908849431e+02 +4.147149431e+02 +4.147149431e+02 +4.3864e-01 +2.6650e-01 +2.5369e-01 -1.8185e-01 -2.7312e-01 +2.5305e-01 +1.2028e+00 +2.7612e-01 +2.2314e-01 -6.9593e-01 +6.6161e-01 +1.8725e-01 +5.2231e-01 +5.1691e-01 +3.7884e-01 +1.9668e-01 -4.7993e-01 +6.3002e-02 -5.1559e-02 -3.5731e-01
6532 +2.337917459e+02 +2.337917459e+02 +3.576217459e+02 +3.576217459e+02 +4.6431e-02 +2.0837e-01 +3.3529e-01 +4.1141e-01 -2.2464e-01 +6.5279e-01 +1.1799e+00 +1.3994e-01 +3.0533e-01 -1.2416e+00 -6.6575e-02 +1.7647e-01 -4.9866e-01 +6.5161e-01 +9.2039e-01 +5.4337e-01 -4.8609e-01 +2.1464e-01 -5.4042e-01 +3.1761e-01
7047 +1.199896645e+02 +1.199896645e+02 +2.438196645e+02 +2.438196645e+02 -5.6175e-01 +3.7175e-01 +6.6489e-01 -4.2524e-01 -2.1099e-01 -1.7075e-02 +6.5554e-01 -7.1805e-02 -8.0032e-02 -1.0488e+00 +1.2245e-01 -6.6141e-01 -8.3854e-02 -1.9893e-03 +6.1108e-01 +7.2416e-01 -8.8406e-01 +3.9048e-01 -1.2302e-01 -7.1436e-02
8085 +9.934777594e+01 +9.934777594e+01 +2.231777759e+02 +2.231777759e+02 -4.2260e-01 +2.6834e-01 +2.3080e-01 -2.7256e-01 -4.0741e-01 +5.7107e-02 +6.0401e-01 +1.1556e-01 -4.0160e-02 -4.6756e-01 +2.0972e-01 +6.7053e-02 +6.8666e-03 +2.0326e-03 +3.6913e-01 +2.8757e-01 -7.3340e-01 -1.4433e-01 -1.7610e-01 -1.0680e-01
9216 +6.180172968e+01 +6.180172968e+01 +1.856317297e+02 +1.856317297e+02 -4.1255e-02 +3.8072e-01 +8.1209e-01 +2.1247e-01 -7.2808e-01 -8.7745e-02 +6.8139e-01 -7.0481e-03 +2.2947e-01 -1.1285e+00 +1.2527e-01 +1.7386e-01 -1.6572e-01 -1.1623e-01 +8.4577e-01 +6.4115e-01 -6.8976e-01 +7.1407e-02 -2.8646e-01 +1.6619e-01
10578 +3.908310782e+01 +3.908310782e+01 +1.629131078e+02 +1.629131078e+02 -1.4388e-01 +3.2124e-01 +5.9527e-01 +7.5290e-02 -6.0795e-01 +2.5197e-03 +6.0931e-01 +1.3391e-02 +7.5915e-02 -1.0375e+00 +1.8984e-01 +3.2078e-01 -8.1836e-02 -1.1752e-01 +5.6338e-01 +4.2512e-01 -9.4590e-01 +1.1924e-01 -8.4647e-02 -8.2902e-02
11747 +2.475407934e+01 +2.475407934e+01 +1.485840793e+02 +1.485840793e+02 -1.7104e-01 +3.5136e-01 +7.0285e-01 +8.0123e-02 -5.8413e-01 +1.3078e-01 +7.5360e-01 +2.5711e-01 -2.3337e-03 -1.0856e+00 +2.6695e-01 +1.0236e-01 -2.2755e-01 +1.3183e-01 +7.0831e-01 +4.4707e-01 -9.9422e-01 +2.4393e-01 -3.0470e-01 -8.9003e-02
27612 +1.582818772e+01 +1.582818772e+01 +1.396581877e+02 +1.396581877e+02 -1.1516e-01 +4.1371e-01 +8.7552e-01 -2.9464e-01 -3.5420e-01 -1.7422e-01 +3.1397e-01 +7.6547e-02 +4.1367e-03 -6.4469e-01 -1.2313e-01 +4.5791e-01 -2.9481e-01 +2.9081e-01 +5.9856e-01 +5.8958e-01 -9.9073e-01 -1.8759e-01 +3.9024e-01 +1.9488e-01
44940 +9.984418659e+00 +9.984418659e+00 +1.338144187e+02 +1.338144187e+02 -2.0104e-01 +2.2406e-01 +7.7419e-02 -1.8068e-01 -5.9371e-03 -3.2704e-02 +2.4991e-01 +5.3128e-01 +7.3802e-02 -1.0453e-02 -7.4881e-01 +1.0648e+00 -1.0399e-01 -1.7407e-01 -1.9092e-01 +4.2342e-01 -4.7605e-01 +1.5574e-01 +7.0358e-01 +9.0366e-01
59698 +6.285305888e+00 +6.285305888e+00 +1.301153059e+02 +1.301153059e+02 +2.5556e-01 -1.7376e-01 -8.2409e-03 +2.1132e-01 +9.9298e-02 -3.9831e-01 -7.1201e-02 +3.8010e-01 +1.8186e-01 +7.5500e-02 -7.1639e-01 +1.2362e+00 +2.3469e-01 -5.4351e-01 -6.4091e-01 -1.8098e-02 -5.6791e-02 +5.3816e-02 +5.0430e-01 +6.0219e-01
66620 +3.964683715e+00 +3.964683715e+00 +1.277946837e+02 +1.277946837e+02 +5.1452e-01 -4.4480e-01 -2.6774e-01 +2.3829e-01 +6.3396e-02 -4.9949e-01 -3.6839e-01 +1.5301e-01 +4.4242e-01 +4.9854e-01 -4.1616e-01 +9.1617e-01 +5.0398e-01 -6.2060e-01 -5.8780e-01 -1.2145e-01 +8.6821e-02 -1.5591e-01 +4.0998e-01 +6.4024e-01
69726 +2.426835342e+00 +2.426835342e+00 +1.262568353e+02 +1.262568353e+02 +4.6087e-01 -4.8040e-01 -3.7726e-01 +1.1600e-01 +8.6785e-02 -4.0484e-01 -4.3669e-01 +1.3261e-01 +4.2671e-01 +7.1051e-01 -1.9129e-01 +7.3415e-01 +6.7395e-01 -4.6768e-01 -6.0435e-01 -1.6578e-01 +3.9416e-01 -2.8691e-01 +3.4401e-01 +5.8739e-01
74572 +1.572952250e+00 +1.572952250e+00 +1.254029522e+02 +1.254029522e+02 +3.7659e-01 -5.0694e-01 -4.4427e-01 +2.0193e-02 +1.4887e-01 -3.3276e-01 -5.0790e-01 +1.0153e-01 +3.7840e-01 +7.8571e-01 -9.3073e-02 +5.9846e-01 +7.4640e-01 -3.6326e-01 -6.3295e-01 -1.6744e-01 +5.8173e-01 -3.1143e-01 +2.8482e-01 +5.0773e-01
78671 +9.899243648e-01 +9.899243648e-01 +1.248199244e+02 +1.248199244e+02 +3.1112e-01 -5.2664e-01 -4.9476e-01 -3.9210e-02 +2.3175e-01 -2.7997e-01 -5.7652e-01 +7.8482e-02 +3.1893e-01 +8.1847e-01 -6.2899e-02 +4.8762e-01 +7.1504e-01 -2.7265e-01 -6.6542e-01 -1.5976e-01 +7.1252e-01 -3.0002e-01 +2.5204e-01 +4.2762e-01
81349 +6.105175815e-01 +6.105175815e-01 +1.244405176e+02 +1.244405176e+02 +2.6529e-01 -5.2986e-01 -5.3010e-01 -6.2945e-02 +3.1280e-01 -2.3889e-01 -6.2203e-01 +4.6375e-02 +2.6448e-01 +8.4777e-01 -6.5446e-02 +4.0119e-01 +6.6108e-01 -2.0790e-01 -6.8935e-01 -1.8329e-01 +7.8813e-01 -2.7908e-01 +2.4374e-01 +3.5779e-01
84707 +3.941330522e-01 +3.941330522e-01 +1.242241331e+02 +1.242241331e+02 +2.3889e-01 -5.3076e-01 -5.6638e-01 -5.7922e-02 +3.8201e-01 -2.0808e-01 -6.5713e-01 +1.4723e-02 +2.2440e-01 +8.8655e-01 -8.8886e-02 +3.1937e-01 +6.0923e-01 -1.7402e-01 -7.1300e-01 -2.2635e-01 +8.4450e-01 -2.5522e-01 +2.4145e-01 +3.0538e-01
87500 +2.482458345e-01 +2.482458345e-01 +1.240782458e+02 +1.240782458e+02 +2.1256e-01 -5.2479e-01 -5.9671e-01 -5.3026e-02 +4.4939e-01 -1.7515e-01 -6.8134e-01 -1.8408e-02 +1.7297e-01 +9.2932e-01 -1.1630e-01 +2.2457e-01 +5.4614e-01 -1.3351e-01 -7.1822e-01 -2.8283e-01 +8.9746e-01 -2.1784e-01 +2.3336e-01 +2.3709e-01
89041 +1.582215500e-01 +1.582215500e-01 +1.239882215e+02 +1.239882215e+02 +1.9826e-01 -5.1392e-01 -6.1193e-01 -4.9923e-02 +4.8326e-01 -1.5775e-01 -6.9293e-01 -3.4201e-02 +1.4664e-01 +9.5255e-01 -1.3073e-01 +1.7190e-01 +5.0847e-01 -1.0846e-01 -7.1409e-01 -3.1485e-01 +9.1882e-01 -2.0442e-01 +2.2939e-01 +2.0291e-01
89939 +9.462474676e-02 +9.462474676e-02 +1.239246247e+02 +1.239246247e+02 +1.8132e-01 -5.0074e-01 -6.3002e-01 -4.1428e-02 +5.3603e-01 -1.3475e-01 -7.0566e-01 -6.1582e-02 +1.0598e-01 +9.8302e-01 -1.6154e-01 +9.8104e-02 +4.5975e-01 -8.3129e-02 -7.1360e-01 -3.6808e-01 +9.5067e-01 -1.7569e-01 +2.2832e-01 +1.5286e-01
90964 +5.557061299e-02 +5.557061299e-02 +1.238855706e+02 +1.238855706e+02 +1.7108e-01 -4.8456e-01 -6.4089e-01 -3.0695e-02 +5.7652e-01 -1.2008e-01 -7.1523e-01 -8.5121e-02 +7.2925e-02 +1.0170e+00 -1.9051e-01 +4.2619e-02 +4.1706e-01 -6.1108e-02 -7.1579e-01 -4.1736e-01 +9.7042e-01 -1.5893e-01 +2.3078e-01 +1.1487e-01
