% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.102502790e+02 +4.102502790e+02 +4.897302790e+02 +4.897302790e+02 +4.5445e+00 +1.3576e+00 +1.6310e+00 +2.6641e+00 +7.6484e-01 -4.7087e+00 +3.2492e+00 -2.7942e+00 +5.4407e-01 -4.1393e+00 +2.3240e+00 +1.6396e-03 -1.1468e+00 +4.4734e-01 -4.9353e+00 -4.8838e+00 +1.5650e+00 +3.0583e+00 -4.2533e+00 -4.8039e+00
2 +3.047246243e+02 +3.047246243e+02 +3.842046243e+02 +3.842046243e+02 +3.8706e+00 -4.8136e+00 +3.4890e+00 +2.0516e+00 -4.4714e+00 +3.9724e+00 +7.6087e-01 +2.1204e+00 +4.9576e+00 -2.0968e+00 +2.2266e-01 -4.4117e+00 +4.5824e+00 -2.3995e+00 -4.0737e+00 -2.4539e+00 -3.6766e+00 -8.3282e-01 +2.4448e+00 +4.4491e+00
3 +1.596107459e+02 +1.596107459e+02 +2.390907459e+02 +2.390907459e+02 +9.8557e-01 -1.7939e+00 +2.1746e+00 +2.1452e+00 +1.2313e+00 +3.9656e+00 -4.1455e+00 +6.7637e-01 +2.1840e-01 -2.8221e+00 -4.0133e+00 +4.8949e+00 +2.7281e+00 +4.7241e+00 +1.3777e+00 +3.0126e+00 +4.6910e+00 +2.3568e+00 +2.5933e+00 +7.3769e-01
22 +1.391764375e+02 +1.391764375e+02 +2.186564375e+02 +2.186564375e+02 +1.6988e+00 -9.2164e-02 -3.4965e-01 -2.9835e-01 -2.1514e+00 -4.7452e+00 -3.6677e+00 -3.7625e+00 -4.5019e+00 -2.3242e+00 +1.3951e-01 -1.7239e+00 +4.1456e+00 +6.7955e-01 +2.7268e+00 +4.4280e-01 -7.5162e-01 -5.6624e-01 +3.6356e+00 -1.3188e+00
364 +8.417487236e+01 +8.417487236e+01 +1.636548724e+02 +1.636548724e+02 +1.5456e-01 -5.3519e-01 +1.5234e+00 +1.7332e-01 -2.1769e-01 +1.4760e+00 -1.9082e+00 +2.3016e+00 -1.7139e+00 -3.2042e+00 -4.5710e+00 +4.0820e+00 -1.3660e+00 -1.0499e+00 -1.6877e+00 -2.5351e-01 -2.4429e+00 -3.0975e+00 +8.4159e-01 -3.8936e-02
856 +6.077925663e+01 +6.077925663e+01 +1.402592566e+02 +1.402592566e+02 -3.4947e+00 -1.3666e+00 -1.1681e+00 +1.2473e+00 -1.1149e+00 +5.5787e-01 -4.8074e-01 +6.9214e-01 -1.8026e+00 -2.2471e+00 -1.0882e+00 +1.4608e+00 +4.7777e+00 -2.4607e+00 +1.9585e+00 +5.8083e-01 +9.9876e-01 -3.6180e+00 +1.4465e-02 +1.0898e+00
1411 +3.780775445e+01 +3.780775445e+01 +1.172877545e+02 +1.172877545e+02 +7.9323e-02 -1.4816e+00 -2.5290e+00 +2.6976e+00 -6.3693e-01 -3.6243e-01 +1.9476e+00 +1.6645e-01 +7.0302e-01 -1.5952e+00 -5.3807e+00 +2.1819e+00 +1.9289e+00 -6.7595e-01 +5.7507e+00 +4.6214e-01 -1.1647e+00 -5.0319e+00 +1.5063e+00 +8.3269e-01
2423 +2.033704201e+01 +2.033704201e+01 +9.981704201e+01 +9.981704201e+01 -9.0143e-01 -1.3279e+00 +8.8695e-01 +2.2759e+00 -1.8926e+00 -5.1973e-01 -7.8607e-02 +6.3084e-01 -2.3459e+00 -4.4856e+00 -4.1827e+00 +2.2333e+00 -1.4556e+00 -4.3522e-01 +3.7314e+00 +1.6600e+00 -5.7133e-01 -2.4844e+00 +1.2583e+00 +1.0622e+00
2668 +1.513375905e+01 +1.513375905e+01 +9.461375905e+01 +9.461375905e+01 +5.9419e-01 -1.1845e+00 -2.6179e+00 +2.9655e-01 -1.7489e+00 +1.7891e+00 +1.2091e-01 +1.4419e-01 -1.1418e+00 -2.2748e+00 -2.9626e+00 +8.4010e-01 -1.8406e-02 +3.2022e-01 +4.3183e+00 +2.0118e+00 -1.0720e-01 -4.1224e+00 +2.2116e+00 +8.1211e-01
3643 +7.716777365e+00 +7.716777365e+00 +8.719677736e+01 +8.719677736e+01 -2.2083e-01 -1.3103e+00 -6.2221e-01 +4.2891e-01 -3.3331e+00 +9.4163e-02 -1.9486e-01 -8.1752e-01 -1.2760e+00 -3.3027e+00 -3.5297e+00 +2.4561e+00 +8.1786e-01 -2.2087e-01 +4.2942e+00 +2.4697e+00 -7.4527e-01 -2.5607e+00 +1.7931e+00 +1.2416e+00
4336 +5.877853660e+00 +5.877853660e+00 +8.535785366e+01 +8.535785366e+01 +8.9355e-01 -1.6549e+00 -9.6564e-01 +9.0506e-01 -2.5724e+00 -7.2870e-02 +3.1926e-01 -4.6802e-01 -1.1169e+00 -3.0447e+00 -4.4299e+00 +1.4664e+00 +1.2490e+00 -7.6672e-01 +4.0976e+00 +3.3120e+00 -2.7790e-01 -2.6941e+00 +2.3667e+00 +1.4003e+00
4829 +3.904512387e+00 +3.904512387e+00 +8.338451239e+01 +8.338451239e+01 +6.2378e-01 -6.9545e-01 +2.4622e-01 +1.6460e+00 -2.6963e+00 -1.6300e-01 -2.5280e-01 -3.0168e-01 -1.5290e+00 -2.5774e+00 -4.2602e+00 +2.2514e+00 +1.1629e+00 +1.5757e-01 +4.1738e+00 +3.8630e+00 -9.8233e-02 -3.4563e+00 +2.5634e+00 +1.3247e+00
5125 +2.201566646e+00 +2.201566646e+00 +8.168156665e+01 +8.168156665e+01 +4.8654e-01 -8.9408e-01 -1.3938e-01 +1.4269e+00 -2.8071e+00 +5.6061e-01 -4.1737e-01 -2.1097e-01 -1.7007e+00 -3.3199e+00 -4.1543e+00 +1.9696e+00 +3.4659e-01 -2.3378e-01 +3.7359e+00 +3.2044e+00 -1.9266e-01 -3.8335e+00 +2.2066e+00 +1.9791e+00
6184 +1.302480617e+00 +1.302480617e+00 +8.078248062e+01 +8.078248062e+01 +2.2948e-01 -7.9890e-01 -9.2047e-01 +1.8289e+00 -2.7583e+00 +5.6674e-01 +1.1956e-01 -1.5129e-01 -1.1975e+00 -2.9182e+00 -3.5377e+00 +1.6403e+00 +1.3652e+00 -9.4756e-02 +3.8083e+00 +2.8761e+00 -2.0498e-01 -3.5881e+00 +1.9357e+00 +1.0224e+00
6943 +7.978082644e-01 +7.978082644e-01 +8.027780826e+01 +8.027780826e+01 +1.4281e-01 -1.2081e+00 -3.1628e-01 +2.0274e+00 -2.8127e+00 +3.7207e-01 -1.2525e-02 -1.1002e-01 -1.4919e+00 -2.9724e+00 -4.1455e+00 +2.0833e+00 +9.9316e-01 +3.5525e-01 +3.6992e+00 +3.0154e+00 -2.3559e-01 -3.8405e+00 +2.4601e+00 +1.7540e+00
