% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.261953657e+05 +2.261953657e+05 +2.256488657e+05 +2.256488657e+05 +4.1969e+00 +2.3533e+00 +6.7687e-01 +2.9283e+00 -1.4125e+00 +9.6450e-01 +2.2869e+00 -2.8214e+00 -3.7830e+00 -3.8868e+00 -2.4026e+00 -1.3520e+00 +4.5093e-01 +2.9058e+00 -3.3747e+00 +2.9338e+00 -2.8234e+00 -3.5399e+00 -1.7690e+00 +2.1020e+00
2 +6.748840985e+04 +6.748840985e+04 +6.694190985e+04 +6.694190985e+04 -1.0708e+00 -6.0997e-01 -1.6849e+00 +3.6920e+00 -2.0702e+00 -4.9460e+00 +3.3467e+00 +1.1272e+00 -2.5070e+00 +1.4240e+00 -1.7938e+00 +1.7022e+00 -2.2570e+00 -4.6092e+00 -1.6053e+00 -1.0361e+00 +4.4207e+00 -3.7660e+00 +1.6306e+00 +4.1364e+00
13 +4.869492145e+04 +4.869492145e+04 +4.814842145e+04 +4.814842145e+04 +2.7204e+00 -1.2793e+00 -4.5665e+00 -4.5230e+00 +4.8716e+00 -1.8576e-01 -1.6271e+00 +3.7010e+00 -3.4779e+00 -2.1912e+00 +1.7648e+00 +4.2970e-02 +1.2236e+00 -4.4448e+00 -1.1544e+00 -2.6136e+00 +2.9598e+00 -4.5552e+00 +3.7083e-01 +1.7543e+00
359 +3.027980377e+04 +3.027980377e+04 +2.973330377e+04 +2.973330377e+04 +2.3318e+00 +2.1659e+00 +6.4330e-01 +1.5056e+00 +2.7218e+00 +5.2264e-01 +2.9660e-01 -1.2623e-01 -2.5673e+00 +7.0619e-01 -2.1955e+00 +3.6055e+00 +1.9839e+00 -2.3997e+00 +6.8258e-01 -5.6609e-01 +1.4990e+00 -2.9486e+00 -1.0899e+00 +4.8851e+00
379 +2.077760728e+04 +2.077760728e+04 +2.023110728e+04 +2.023110728e+04 -4.4204e+00 +1.1722e+00 -1.6055e-01 +2.5966e+00 +1.6432e+00 +3.8779e-01 +1.5280e+00 -3.9072e-01 +1.3449e+00 +3.9715e-01 +5.2684e-01 +9.9198e-01 +8.2332e-01 +7.1483e-01 -1.0913e+00 +2.4954e-01 +3.3984e+00 -2.1759e+00 -1.8914e+00 +1.0147e+00
1265 +1.083798019e+04 +1.083798019e+04 +1.029148019e+04 +1.029148019e+04 -1.8831e-01 +4.9143e-01 +4.3284e+00 -1.6078e+00 +2.1814e+00 +2.3159e+00 -3.8867e-01 -8.9586e-01 +6.7072e-01 +4.8283e+00 +4.7876e-02 -7.3254e-01 +2.6831e+00 -1.4913e+00 +9.7668e-01 -1.5837e+00 -1.5765e-01 -1.0257e+00 -2.9946e+00 -7.2422e-02
1417 +8.124220599e+03 +8.124220599e+03 +7.577720599e+03 +7.577720599e+03 +2.8561e+00 +1.7682e+00 +1.6376e+00 +4.3597e-01 +4.0408e+00 -2.8851e+00 -7.7483e-01 +1.5523e+00 +3.7315e-01 -3.0807e-02 +3.1185e+00 +7.9052e-01 +2.4669e+00 -1.2624e+00 -1.6025e-01 -3.4600e+00 -6.1318e-01 -1.2947e-02 -2.2998e+00 +8.4511e-01
1707 +4.234624730e+03 +4.234624730e+03 +3.688124730e+03 +3.688124730e+03 +9.3139e-01 +2.7684e+00 +1.4967e-02 -7.3268e-01 +7.6436e-01 -2.7444e-01 -9.8458e-01 -1.2187e+00 +7.8048e-02 +4.6232e-01 +3.0762e+00 +4.8709e-01 +1.7279e+00 -1.7264e+00 -6.5253e-01 -3.1479e+00 +1.5283e+00 +6.9487e-02 -3.1443e+00 +2.0580e+00
1732 +2.263182707e+03 +2.263182707e+03 +1.716682707e+03 +1.716682707e+03 +3.5428e+00 -1.8655e+00 +1.4750e+00 -1.6772e-01 +2.4642e+00 -1.1436e+00 -9.1276e-01 +1.3355e+00 -1.9190e-01 +8.9018e-01 +7.2254e-02 +4.1657e-01 +3.4775e+00 -6.3200e-01 +7.9394e-01 -5.0671e-01 +2.1250e+00 -1.3673e+00 -2.3715e+00 +2.9617e-01
2343 +7.671504417e+02 +7.671504417e+02 +2.206504417e+02 +2.206504417e+02 +1.8846e+00 -1.0862e+00 +2.6007e-02 +7.2651e-01 -2.4306e-01 +8.9868e-02 -3.2238e-01 -1.1933e+00 -2.5512e+00 -2.8635e-02 +2.4985e-01 -7.0551e-02 +2.5244e+00 -5.3962e-01 +8.6735e-01 -2.1018e+00 +1.1689e+00 -2.6977e+00 -1.4134e+00 +1.0754e+00
2664 +8.157327393e+01 +8.157327393e+01 -4.649267261e+02 -4.649267261e+02 -5.2926e-01 +3.6350e-01 -7.4121e-01 +8.2115e-01 -1.3230e-01 -1.2514e+00 -2.9491e-01 +9.6770e-01 +1.1953e-01 +1.6212e+00 +1.0753e+00 +1.1651e+00 +2.5545e+00 -1.2156e-02 +1.5234e+00 -1.9133e+00 +2.4063e-01 -2.6635e+00 -1.1232e+00 +2.0481e+00
2976 +5.555455436e+01 +5.555455436e+01 -4.909454456e+02 -4.909454456e+02 -5.6461e-01 +4.6918e-01 +4.3580e-01 +1.0969e-01 +3.2439e+00 +1.3731e+00 -2.0026e+00 +2.2231e+00 +1.0031e-01 +2.2218e+00 +3.5490e-01 +1.3776e+00 +1.5856e+00 -8.5208e-01 +1.4506e+00 -1.5601e+00 +1.3803e+00 -7.5222e-01 -2.5945e+00 +1.9050e+00
3210 +4.252812841e+00 +4.252812841e+00 -5.422471872e+02 -5.422471872e+02 +6.0981e-01 -1.1049e+00 -8.6034e-01 -4.6711e-01 +4.2217e-01 -3.7528e-01 -3.0685e-01 +1.3875e-01 -1.8901e+00 +1.8495e+00 +1.7812e+00 +2.3209e-01 +2.5616e+00 -5.4680e-01 +1.5763e+00 -7.8884e-01 +1.4095e+00 -1.8903e+00 -1.9822e+00 +1.3792e+00
4085 +3.787340841e+00 +3.787340841e+00 -5.427126592e+02 -5.427126592e+02 -7.8974e-01 +2.6148e+00 -6.1774e-01 -1.7196e+00 +4.0520e-01 -2.7942e-01 -1.1104e+00 +7.1458e-01 -1.3811e+00 +1.0013e+00 +2.5704e+00 +1.7186e-01 +1.7654e+00 -8.8702e-01 +1.1529e+00 -6.8843e-01 +7.4598e-01 -1.1432e+00 -2.2811e+00 +9.1048e-01
439289 +2.507823043e+00 +2.507823043e+00 -5.439921770e+02 -5.439921770e+02 -1.9412e+00 +1.1772e+00 +8.9198e-01 +7.3366e-01 +1.8968e+00 -2.9894e-01 -2.8078e-02 +1.9202e+00 -4.7355e-01 +2.4260e+00 +1.9737e+00 +1.4679e+00 +1.0232e+00 -2.4190e+00 +8.6303e-01 -2.3197e+00 +1.0109e+00 -2.4206e+00 -1.6182e+00 +1.6076e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.539836063e+05 +1.539836063e+05 +1.549836063e+05 +1.549836063e+05 +1.1132e+00 +8.4100e-02 +1.2867e+00 +4.7768e+00 +4.1461e+00 +1.4333e+00 +1.7680e+00 -1.6558e+00 -2.1522e+00 -2.9383e-01 -2.7384e-01 -4.2311e-01 -1.3233e+00 -1.9410e+00 -3.5963e+00 +4.4641e+00 +2.6302e+00 +4.9087e-01 -1.0039e-01 +3.3062e+00
