% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.607812281e+01 +4.607812281e+01 -5.647187719e+01 -5.647187719e+01 -3.9843e-01 -2.7382e+00 +2.4067e+00 +8.7186e-02 -1.1359e+00 -4.2402e+00 -6.3054e-02 +2.5503e+00 +1.5824e+00 +1.4973e+00 -4.2511e+00 -4.2476e+00 -4.3189e+00 +5.8511e-01 -2.0435e+00 +7.1640e-01 +2.7778e-01 -3.6231e+00 -2.4999e+00 +3.0098e+00
2 +3.733550966e+01 +3.733550966e+01 -6.521449034e+01 -6.521449034e+01 -1.0199e+00 -3.7470e-01 -1.8463e+00 -3.3871e+00 -4.6480e+00 +5.7845e-01 -2.2679e+00 -3.5555e-02 -2.0035e+00 -1.6014e+00 +4.1511e-01 -1.1219e+00 -2.3100e+00 -3.2567e+00 +3.4188e+00 -2.0272e+00 -2.1470e+00 +8.4246e-01 -1.3936e+00 -3.1365e+00
33 +2.334118405e+01 +2.334118405e+01 -7.920881595e+01 -7.920881595e+01 -4.0244e+00 -1.1206e-01 -2.8061e+00 -4.4647e+00 +4.4967e-01 +1.1838e+00 +1.9442e+00 +7.4256e-02 +2.2956e-01 -1.7085e+00 +9.7507e-01 +4.5850e+00 -1.3312e+00 -2.8336e+00 +1.3513e+00 -8.2256e-01 +3.5157e+00 +1.8039e+00 -4.2685e+00 -2.6134e+00
229 +1.569833162e+01 +1.569833162e+01 -8.685166838e+01 -8.685166838e+01 +2.5009e+00 +1.2422e+00 +1.1571e+00 -1.7954e+00 -2.5231e+00 +1.1543e+00 +6.4003e-01 -3.9313e+00 +2.2422e+00 -2.5679e+00 -2.5840e+00 +2.1770e+00 -1.9406e+00 +1.2985e+00 -1.4345e+00 -8.4274e-01 +9.0237e-01 +2.5530e+00 -1.8699e+00 +2.0113e+00
844 +9.803595977e+00 +9.803595977e+00 -9.274640402e+01 -9.274640402e+01 -9.7298e-01 +1.6537e+00 +1.1954e+00 -1.7096e+00 +3.0588e-01 +5.5113e-01 +1.0089e+00 -2.4503e+00 +2.7946e+00 -2.6979e-01 +1.7221e+00 -1.8532e+00 +2.4441e-01 +5.6864e-01 -1.6528e+00 -6.7199e-01 +1.1423e+00 -7.4541e-01 -1.4059e+00 +4.5952e-01
5036 +5.436907928e+00 +5.436907928e+00 -9.711309207e+01 -9.711309207e+01 +4.0038e-02 -1.3190e+00 +4.4174e-01 +4.3591e-01 -6.4411e-01 -3.1886e-01 +5.1903e-01 -4.7298e-01 +2.2279e+00 -2.4276e+00 -6.6110e-01 -5.9269e-01 +1.8733e+00 +5.9185e-01 -9.9845e-01 -9.9166e-01 +4.3135e-01 +1.0784e+00 -1.8406e-01 -9.0743e-01
32653 +3.574293932e+00 +3.574293932e+00 -9.897570607e+01 -9.897570607e+01 +1.5439e+00 -8.2466e-01 +7.2625e-02 -1.0732e-01 +1.8474e-01 +9.2009e-02 +1.9787e-01 -6.5369e-01 +8.8587e-01 -4.9178e-01 -2.9149e-01 -3.6997e-01 +8.9464e-02 +7.9626e-01 -1.0301e+00 -1.2683e+00 +6.9632e-01 -3.4881e-01 -5.8338e-01 -2.1757e+00
140705 +2.491998036e+00 +2.491998036e+00 -1.000580020e+02 -1.000580020e+02 -3.2254e-01 -4.8359e-01 -1.7195e+00 -7.6760e-01 -2.1153e-01 -2.5054e-01 -1.5739e-02 -9.5242e-01 +7.9132e-01 +1.1783e+00 +9.2701e-01 -7.7239e-02 -5.9532e-01 +2.1286e-01 +6.3908e-01 +1.6954e-01 +6.8746e-01 +7.1007e-01 -1.5896e-01 -1.0556e+00
189801 +1.572018988e+00 +1.572018988e+00 -1.009779810e+02 -1.009779810e+02 -3.2360e-01 -4.7962e-01 -1.7195e+00 -7.6760e-01 -2.1153e-01 -2.5054e-01 -1.5739e-02 -9.5242e-01 +7.9132e-01 +1.1761e+00 +9.2183e-01 -7.7239e-02 -5.9532e-01 +2.2050e-01 +6.3908e-01 +1.6954e-01 +6.9183e-01 +7.1007e-01 -1.5561e-01 -1.0556e+00
348501 +9.916185820e-01 +9.916185820e-01 -1.015583814e+02 -1.015583814e+02 -7.4205e-02 -2.3670e-01 -1.0212e+00 +1.2754e-02 +1.5797e-01 -1.4526e-01 +1.0168e+00 +3.1848e-01 +3.2022e-01 -7.4004e-01 -9.0783e-02 -1.6183e+00 +1.0090e+00 +1.9338e-01 +8.8513e-01 +6.1026e-01 +7.1125e-01 +2.1591e-01 +4.7599e-01 -6.0310e-01
850801 +6.304547638e-01 +6.304547638e-01 -1.019195452e+02 -1.019195452e+02 -7.4583e-02 -2.3495e-01 -1.0203e+00 +1.4765e-02 +1.6140e-01 -1.4593e-01 +1.0153e+00 +3.1848e-01 +3.2022e-01 -7.4151e-01 -8.9399e-02 -1.6166e+00 +1.0127e+00 +1.9381e-01 +8.8684e-01 +6.1069e-01 +7.1263e-01 +2.1591e-01 +4.7497e-01 -6.0389e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.421948615e+01 +4.421948615e+01 +1.159094861e+02 +1.159094861e+02 -3.2147e+00 -1.5875e+00 +2.2019e+00 +3.9236e+00 +2.3257e+00 +3.3797e+00 -2.6348e+00 -8.0830e-01 -3.6067e+00 -1.7825e+00 +2.5490e+00 -2.9460e-01 -4.4637e+00 +4.2148e+00 -3.7770e+00 -3.7275e+00 +1.5552e+00 +3.2190e+00 +8.7973e-01 +2.1755e+00
15 +3.619808114e+01 +3.619808114e+01 +1.078880811e+02 +1.078880811e+02 +7.5732e-01 -1.3802e+00 +4.4660e+00 +1.8985e+00 -3.8395e-01 +4.6134e+00 +5.7537e-01 -4.9260e+00 -1.9595e+00 -3.6827e+00 -1.7279e+00 -2.7373e+00 +3.9917e-01 -2.1397e+00 -2.7600e+00 -1.5254e-01 +3.1208e+00 +2.6196e+00 -2.6756e+00 -1.2792e+00
47 +2.292602711e+01 +2.292602711e+01 +9.461602711e+01 +9.461602711e+01 +4.8028e+00 +1.9562e+00 +2.6618e+00 +1.1175e+00 +2.5155e+00 +6.4852e-01 +6.6862e-01 -2.8170e+00 -6.3694e-01 -4.2842e+00 +3.4693e+00 -3.8397e+00 -1.7716e+00 -1.6641e+00 +7.6296e-01 +1.6936e+00 -1.8134e+00 +1.8374e+00 +2.1153e+00 +1.3769e+00
101 +1.360910323e+01 +1.360910323e+01 +8.529910323e+01 +8.529910323e+01 -2.2193e-01 -3.3564e+00 +3.6030e+00 -2.9107e+00 -2.1933e+00 +2.2811e+00 -1.6040e+00 +1.5916e+00 -4.4236e-01 +7.6296e-02 -1.6019e+00 -2.7268e+00 -3.4656e+00 -1.5351e+00 +1.4393e+00 +2.9877e+00 +1.8773e+00 -1.0130e-03 -3.0396e+00 -2.3628e+00
809 +8.412623512e+00 +8.412623512e+00 +8.010262351e+01 +8.010262351e+01 -1.5134e+00 -2.0089e+00 +1.4770e-01 +9.2999e-01 -9.3365e-01 +3.8590e-01 +2.9359e+00 +2.7475e-01 -7.9859e-01 +7.4307e-01 +4.9492e-01 -6.3454e-01 -4.5487e-01 +1.8080e-01 +8.0861e-01 -8.5642e-01 +3.1424e-01 +7.3068e-01 -1.4133e+00 -6.2537e-01
3648 +6.305399075e+00 +6.305399075e+00 +7.799539908e+01 +7.799539908e+01 +9.6358e-01 -3.8746e-01 +2.5112e+00 -5.4663e-01 +1.2447e+00 +1.1360e+00 +9.8203e-01 -3.0822e+00 -1.6757e+00 -8.3904e-01 +2.0988e+00 +2.7518e-01 -2.1171e+00 +1.3020e+00 +1.1265e+00 -8.7093e-01 -9.8231e-01 -3.7193e-01 +1.0350e+00 -7.0217e-01
37201 +3.300671452e+00 +3.300671452e+00 +7.499067145e+01 +7.499067145e+01 +3.8542e-01 -5.7050e-01 +5.4278e-01 +2.1772e-01 +1.5560e+00 -2.0785e-01 +4.3304e-01 -2.2601e-01 +3.0164e-01 -4.2827e-01 -3.3490e-02 -1.6283e-01 +4.0798e-01 +4.9880e-01 +9.7514e-01 +3.4280e-01 +1.2196e+00 -1.8388e+00 +6.4783e-01 +6.0850e-01
89601 +2.441540339e+00 +2.441540339e+00 +7.413154034e+01 +7.413154034e+01 -1.4720e-02 -7.5956e-01 -7.3803e-01 +4.0801e-01 -2.2434e+00 -1.1584e+00 +1.1201e+00 +9.7093e-01 -1.7076e+00 -1.4643e-01 +1.0952e-01 -1.0837e+00 -9.2884e-01 +1.4158e+00 +2.3662e-01 +1.3848e-01 -4.4014e-01 +1.7055e+00 +2.5525e-01 +1.7043e+00
155201 +1.506521156e+00 +1.506521156e+00 +7.319652116e+01 +7.319652116e+01 +1.1434e+00 +1.0011e+00 +5.3423e-01 +7.3543e-01 -8.7479e-01 +1.2457e+00 +1.5646e+00 +8.1550e-01 -4.8192e-01 +7.9589e-01 +6.5216e-01 -4.1895e-01 +3.9196e-01 +3.6182e-01 +7.8465e-01 +1.9862e+00 +6.9788e-02 -7.7722e-01 -1.0300e+00 +1.0507e+00
657701 +9.992910163e-01 +9.992910163e-01 +7.268929102e+01 +7.268929102e+01 -1.3871e-02 -7.5993e-01 -7.3803e-01 +4.0858e-01 -2.2441e+00 -1.1565e+00 +1.1201e+00 +9.7115e-01 -1.7068e+00 -1.4844e-01 +1.0922e-01 -1.0837e+00 -9.2842e-01 +1.4158e+00 +2.3637e-01 +1.3884e-01 -4.3858e-01 +1.7058e+00 +2.5513e-01 +1.7034e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.160234084e+01 +5.160234084e+01 +2.656123408e+02 +2.656123408e+02 -2.2960e+00 +4.3446e+00 -4.1102e+00 +7.8347e-02 +1.4587e+00 -6.6598e-01 +3.3889e+00 +3.3663e+00 +3.4853e+00 -2.9854e+00 -1.5734e+00 +9.1769e-01 +3.3409e+00 -1.8242e+00 -8.9906e-02 +3.4366e-01 -3.4004e+00 +1.4570e+00 -4.3604e+00 -1.2945e+00
