% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.278750169e+05 +5.278750169e+05 +5.279988469e+05 +5.279988469e+05 -1.3482e+00 -4.3186e+00 -1.9481e+00 -4.7618e-01 +1.8178e+00 -4.7061e+00 +1.0575e-01 +4.0413e+00 +3.1603e+00 +1.7112e+00 -1.4254e+00 -4.0481e+00 -3.0723e+00 -5.9849e-01 -4.3969e+00 -1.9399e+00 -4.9569e+00 +3.7764e+00 -1.2888e+00 +2.9775e+00
2 +2.537624203e+05 +2.537624203e+05 +2.538862503e+05 +2.538862503e+05 +1.8679e+00 +4.0726e+00 +3.8893e+00 +1.5319e+00 +3.7528e+00 +9.1208e-01 +6.0904e-01 -2.6955e+00 +1.5114e+00 +3.4233e+00 +2.6961e+00 -4.0896e+00 +3.4259e+00 +2.6571e+00 -3.4109e+00 -4.4768e+00 +4.2503e-01 -1.6136e+00 -1.1070e+00 +1.0568e+00
4 +1.315721448e+05 +1.315721448e+05 +1.316959748e+05 +1.316959748e+05 -3.0310e+00 -1.1452e+00 +1.2898e+00 -3.5159e-01 -9.0095e-01 +9.4226e-01 -1.7708e+00 +4.0923e+00 -1.4636e-01 -3.8043e+00 -2.1860e+00 -3.5654e+00 +2.7965e+00 +4.8924e+00 -2.8933e+00 -1.1991e+00 +2.0891e+00 +3.9174e-01 -2.6515e-01 +3.0236e+00
103 +8.383104498e+04 +8.383104498e+04 +8.395487498e+04 +8.395487498e+04 -3.3317e+00 +2.6630e-01 +3.2504e-01 -2.6676e+00 -3.8214e+00 -3.2639e-01 -6.3283e-01 +2.0902e+00 +3.9248e-02 +1.7975e-01 +5.6045e-01 -1.4415e+00 +1.6196e+00 -3.8446e+00 +3.8208e+00 +1.4604e+00 +4.8835e-01 +3.6453e-01 -1.4840e+00 +1.2132e+00
304 +5.461115303e+04 +5.461115303e+04 +5.473498303e+04 +5.473498303e+04 -1.2246e+00 -1.6064e-01 +2.5047e-01 -2.0017e+00 +5.6348e-02 +2.3643e+00 +8.9688e-01 +2.8209e+00 -3.8836e+00 -5.8192e-01 -9.6115e-01 -2.1971e+00 +2.3373e-01 +4.0416e-01 +1.7922e+00 -2.3369e+00 -1.0577e+00 -1.0166e+00 -5.8495e-01 -4.6810e+00
406 +3.657651760e+04 +3.657651760e+04 +3.670034760e+04 +3.670034760e+04 +4.8318e-01 +2.2979e+00 +1.6381e+00 +1.5368e+00 +1.8373e+00 +3.6677e+00 -3.6902e-02 +3.1176e+00 -1.4365e+00 -1.9287e-01 -1.3041e+00 +1.6857e+00 +1.7185e+00 +1.1003e+00 +7.1661e-01 -6.2865e-01 +4.5133e-01 -4.7786e-01 -7.6109e-01 -1.9619e+00
606 +2.138263856e+04 +2.138263856e+04 +2.150646856e+04 +2.150646856e+04 -2.4977e+00 +2.7031e-02 -7.5759e-01 -4.9601e-02 -3.2504e-01 -9.6762e-01 -7.3655e-01 -3.2432e+00 +7.2248e-01 -8.3093e-01 +1.0693e+00 -2.3820e-01 -2.5587e+00 -2.9873e-01 +7.7506e-01 -8.0820e-02 -8.2091e-01 +1.6495e+00 -1.1825e+00 -2.1236e+00
802 +1.449929993e+04 +1.449929993e+04 +1.462312993e+04 +1.462312993e+04 -2.0715e+00 +3.7522e-01 +7.2179e-02 +2.5769e-02 -3.2504e-01 -9.6762e-01 -5.0532e-02 -3.2432e+00 +1.2949e+00 -1.6007e+00 +1.0693e+00 -1.2402e+00 -1.9879e+00 -2.9873e-01 +7.7506e-01 +6.0923e-01 -8.7822e-02 +1.0439e+00 -1.6121e+00 -6.7308e-01
1104 +9.399954499e+03 +9.399954499e+03 +9.523784499e+03 +9.523784499e+03 -6.3030e-01 -2.0273e+00 +1.5160e+00 +7.5198e-01 -1.2257e+00 +4.5337e-01 +1.3801e+00 +2.2525e-01 -9.3757e-01 -7.5643e-01 -6.8956e-01 +7.9796e-02 -1.5327e+00 +2.3767e-01 +1.9159e+00 +7.8611e-01 -3.4670e-02 -2.5667e-01 +9.7584e-02 -2.4488e+00
1254 +5.874283971e+03 +5.874283971e+03 +5.998113971e+03 +5.998113971e+03 +5.5306e-01 -1.5028e-01 -1.0048e+00 +8.3654e-01 -5.8238e-01 -1.1694e+00 +4.8484e-01 -7.5355e-01 -2.3014e+00 -1.1501e+00 +5.1317e-01 -3.8857e-01 +1.7227e+00 -1.0165e+00 +2.0249e+00 +9.4684e-01 -1.1923e+00 +1.1263e+00 +1.1690e+00 -1.1193e+00
