% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.589332830e+05 +1.589332830e+05 +1.583867830e+05 +1.583867830e+05 -7.0481e-01 -9.7269e-01 +2.0888e+00 -3.0650e+00 +3.1363e+00 -2.0823e+00 +2.5965e-02 -3.7735e+00 -3.7298e+00 -2.8379e+00 -6.0628e-01 -3.8857e-01 -2.1626e+00 -1.2988e+00 -3.8918e+00 +1.6697e+00 +2.0173e+00 +5.5163e-02 +4.1175e-01 -2.2751e+00
6 +1.518958254e+05 +1.518958254e+05 +1.513493254e+05 +1.513493254e+05 -5.6677e-01 -2.2589e+00 +3.0577e+00 +8.3946e-01 +4.1325e+00 -1.0826e+00 +4.2137e-01 -5.2831e+00 -1.9768e+00 -3.1159e+00 +4.2457e-02 +4.1682e-01 -2.4669e+00 -2.3365e+00 -2.0855e+00 +1.7956e+00 +4.6841e+00 +6.5577e-02 -2.4280e+00 -3.4968e+00
12 +7.449866782e+04 +7.449866782e+04 +7.395216782e+04 +7.395216782e+04 +2.8650e+00 +1.1444e+00 +9.0989e-01 -3.6023e+00 +2.9215e+00 +2.4227e+00 +1.4579e+00 -3.1272e+00 -2.5488e+00 -3.3906e+00 +1.8518e+00 -2.2487e-02 -7.4460e-01 -7.6887e-01 -1.6392e+00 +2.0854e+00 +2.1143e-01 -5.2563e-01 -3.2271e-01 -4.0557e-01
31 +1.861744656e+04 +1.861744656e+04 +1.807094656e+04 +1.807094656e+04 -1.9552e+00 -1.6376e+00 +2.7082e+00 -1.2266e+00 +3.5834e+00 +3.1695e-01 +6.8266e-02 -2.1003e+00 -4.5426e+00 -3.3308e+00 +4.3414e+00 -1.2013e+00 +4.8169e-01 -4.1270e+00 -1.0925e+00 -1.6507e-01 +6.6280e-01 -1.2640e+00 -2.3447e+00 +3.3089e-01
50 +1.192783859e+04 +1.192783859e+04 +1.138133859e+04 +1.138133859e+04 +4.5455e-01 -6.7285e-01 +1.1045e+00 -9.6218e-01 +3.1732e+00 -1.4080e+00 +4.8252e-01 -3.1742e+00 -2.3703e+00 +1.0374e+00 +5.1055e-01 +1.6128e+00 -4.9869e-01 -1.8372e+00 +4.5542e-01 -1.8454e-01 +3.1231e+00 -2.7789e+00 -2.1866e+00 +2.9480e-01
113 +8.924863382e+03 +8.924863382e+03 +8.378363382e+03 +8.378363382e+03 -3.9992e-02 -9.0408e-02 -1.6728e+00 -3.9253e+00 +9.5192e-01 +1.2051e+00 -1.6501e+00 -9.7450e-01 -3.7056e+00 -1.8126e+00 +1.9222e+00 +2.9590e+00 -2.0015e+00 -3.1866e+00 -7.8687e-01 -1.5013e+00 +1.7528e+00 -2.2347e+00 -2.2424e+00 +2.7423e+00
150 +5.262083409e+03 +5.262083409e+03 +4.715583409e+03 +4.715583409e+03 +3.6206e-02 +2.7569e+00 -2.1725e+00 -1.8542e+00 +1.8759e+00 +9.5756e-01 -6.2607e-01 -7.5270e-01 -2.9948e+00 -9.1675e-01 +3.9630e+00 +1.2753e+00 +2.3842e+00 -3.0868e+00 +2.8917e+00 -4.4495e-01 +1.3435e+00 -3.3289e-01 -3.1319e+00 +1.6209e+00
176 +2.038698718e+03 +2.038698718e+03 +1.492198718e+03 +1.492198718e+03 +3.8122e-01 +6.8806e-01 -2.6493e+00 -3.5018e+00 -6.6199e-01 +1.2902e+00 -1.2228e+00 -4.3479e-01 -3.1046e+00 -5.0512e-01 +2.1949e+00 -4.4058e-01 +1.6070e+00 -3.1617e+00 +5.8224e-01 -1.8800e+00 +1.2029e+00 -2.3340e+00 -1.8736e+00 +8.5894e-01
214 +1.206699972e+03 +1.206699972e+03 +6.601999722e+02 +6.601999722e+02 +2.0849e+00 +3.6170e-01 -2.2647e+00 -3.8790e+00 +8.6676e-01 +7.5736e-01 -2.1168e+00 +1.0476e+00 -2.1593e+00 -6.2301e-01 +2.4374e+00 -1.4727e-01 +3.3871e-01 -5.3339e-01 -9.4475e-02 -2.0161e+00 +1.8410e+00 -7.7156e-01 -1.6955e+00 +1.0624e+00
229 +7.846376928e+02 +7.846376928e+02 +2.381376928e+02 +2.381376928e+02 +1.7356e+00 +1.4604e-01 -7.7537e-01 -3.0990e+00 +2.6489e+00 +6.5893e-02 -1.4274e+00 -8.9231e-01 +1.6392e-01 +1.2798e+00 +2.2751e+00 +1.6716e-01 +1.7532e+00 -2.3909e+00 +3.5775e-01 -1.8218e+00 +1.9910e+00 -1.6617e+00 -2.7504e+00 +1.2102e+00
