% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.432405579e+03 +2.432405579e+03 +2.525345579e+03 +2.525345579e+03 +1.7016e+00 -2.6294e+00 +1.1275e+00 +3.5649e+00 +3.6765e+00 +2.0562e+00 -9.2247e-01 +3.3402e+00 -3.2630e+00 -1.8063e-01 +3.1461e-01 -4.0444e-01 +2.5449e+00 +1.3688e+00 +3.6980e+00 -1.3212e-01 -2.1635e+00 -2.6202e+00 +1.6179e+00 +1.9146e+00
16 +1.448939151e+03 +1.448939151e+03 +1.541879151e+03 +1.541879151e+03 +3.9693e+00 -1.5139e+00 -1.0137e-01 +4.8973e+00 +1.8438e+00 +2.0957e+00 -1.6330e+00 +5.7168e+00 -1.4107e+00 +3.9462e+00 +2.8814e+00 -1.8256e+00 -1.6762e+00 +4.0062e-01 +2.7799e-01 +6.3592e-02 -4.7068e-01 +1.1644e+00 +1.2725e+00 +3.7529e+00
47 +9.310139462e+02 +9.310139462e+02 +1.023953946e+03 +1.023953946e+03 +3.3071e+00 -3.5770e+00 -2.4561e-01 +3.1624e+00 +2.4995e+00 +3.7161e+00 -2.9517e+00 +3.5846e+00 -4.6034e-01 +3.4775e+00 +3.2542e-01 -4.0435e+00 +1.3263e+00 +2.0545e-02 +3.1565e+00 -3.6557e+00 +1.3447e+00 -4.1712e+00 +3.3540e+00 +4.2285e+00
62 +6.192994534e+02 +6.192994534e+02 +7.122394534e+02 +7.122394534e+02 -6.5907e-01 -2.3581e+00 +5.7381e-01 +5.5644e+00 +5.2152e+00 +2.7252e+00 -2.2290e+00 +2.5830e+00 +1.7644e+00 +6.0975e+00 -8.8972e-01 -2.8806e+00 +2.2857e-01 +3.0862e+00 +4.0090e+00 -3.2817e+00 +2.3466e+00 -5.9476e+00 +4.7853e+00 -4.2819e-01
115 +3.320166532e+02 +3.320166532e+02 +4.249566532e+02 +4.249566532e+02 -8.7530e-01 -3.8746e+00 -1.9443e+00 +3.4305e+00 +3.6175e+00 +5.6429e+00 -1.3620e+00 -1.6384e+00 +3.3429e+00 +6.5605e+00 +3.9119e-01 -2.6888e+00 +2.5065e+00 +6.0419e+00 +4.6551e+00 -2.1199e+00 +4.0957e+00 -3.9383e+00 +4.0876e+00 -1.0346e+00
199 +1.580283326e+02 +1.580283326e+02 +2.509683326e+02 +2.509683326e+02 -1.4223e+00 -4.7280e+00 -1.5034e+00 +4.0312e+00 +2.4357e+00 +4.6846e+00 -5.4592e-01 -4.7658e-01 +3.5277e+00 +4.2492e+00 -2.6689e+00 -1.7022e+00 +7.2902e-01 +5.0177e+00 +2.5915e+00 -1.0634e+00 +2.5352e+00 -1.3837e+00 +3.8556e+00 +1.0443e+00
379 +9.838919914e+01 +9.838919914e+01 +1.913291991e+02 +1.913291991e+02 -7.7895e-01 -7.0711e-01 -3.6584e-01 +2.2656e+00 +2.6768e+00 +5.6103e+00 -1.4440e+00 -6.6504e-01 +4.3450e+00 +5.5501e+00 -8.1973e-01 -3.7696e+00 -9.5850e-01 +3.8768e+00 +9.7898e-01 -2.3392e+00 +2.6870e+00 -2.1074e+00 +2.7053e+00 +1.9613e+00
530 +6.253838979e+01 +6.253838979e+01 +1.554783898e+02 +1.554783898e+02 +1.6508e+00 +1.0041e+00 +1.7075e+00 +2.6740e+00 +2.4014e+00 +5.8285e+00 -1.5521e+00 -3.1860e-02 +4.7338e+00 +4.8839e+00 +1.2652e+00 -1.9440e+00 -2.6150e+00 +8.6361e-01 +1.6771e+00 -4.5849e-01 +2.5695e+00 -3.1353e+00 +3.7622e+00 +5.0230e-01
740 +3.959052046e+01 +3.959052046e+01 +1.325305205e+02 +1.325305205e+02 +5.6720e-01 -7.7451e-01 +5.1927e-01 +3.1884e+00 +2.2592e+00 +5.4074e+00 -1.1295e+00 +6.1446e-01 +3.9189e+00 +3.8445e+00 +1.3307e+00 -3.8683e+00 -3.1649e+00 +1.0432e+00 +1.8575e+00 +4.1818e-01 +2.9516e+00 -2.8811e+00 +4.7122e+00 +1.9035e+00
938 +2.481673314e+01 +2.481673314e+01 +1.177567331e+02 +1.177567331e+02 +7.4229e-01 -3.7547e-01 +1.0197e-01 +2.8461e+00 +2.5651e+00 +5.1923e+00 -7.1748e-01 -6.9163e-01 +3.7845e+00 +2.7274e+00 +1.2094e+00 -2.7044e+00 -2.9736e+00 +6.8903e-01 +2.0014e+00 +1.1665e+00 +2.8166e+00 -2.6362e+00 +4.9078e+00 +1.3233e+00
1063 +1.390457813e+01 +1.390457813e+01 +1.068445781e+02 +1.068445781e+02 +3.8666e-01 -8.6622e-01 -2.0287e-01 +3.1542e+00 +2.3592e+00 +4.5645e+00 -4.1369e-01 -1.4385e+00 +4.2724e+00 +3.0537e+00 +1.6215e+00 -3.7710e+00 -2.5957e+00 +7.6014e-01 +2.5012e+00 +1.7241e+00 +3.3867e+00 -3.3012e+00 +4.7896e+00 +1.2166e+00
1152 +9.776050216e+00 +9.776050216e+00 +1.027160502e+02 +1.027160502e+02 +8.3309e-02 -3.6343e-01 -4.8561e-01 +3.3483e+00 +2.1033e+00 +4.2404e+00 -3.0946e-01 -1.4581e+00 +3.8467e+00 +2.7867e+00 +1.3995e+00 -3.2606e+00 -2.3108e+00 +4.4169e-01 +2.2991e+00 +1.9128e+00 +3.9952e+00 -3.0199e+00 +4.2310e+00 +8.5042e-01
1471 +5.959694345e+00 +5.959694345e+00 +9.889969434e+01 +9.889969434e+01 +3.8736e-01 +1.0800e-01 -4.1242e-01 +2.9970e+00 +2.5794e+00 +4.6328e+00 +1.2117e+00 -1.4737e+00 +4.3821e+00 +2.1462e+00 +2.3107e+00 -3.6361e+00 -2.2269e+00 +7.9456e-01 +2.1011e+00 +1.8402e+00 +3.1365e+00 -3.2232e+00 +3.5417e+00 +1.7623e+00
