% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.959284058e+08 +6.959284058e+08 +6.959277847e+08 +6.959277847e+08 +3.2759e+00 -2.1607e-01 -4.5065e+00 -1.0345e+00 -1.9667e+00 +1.9917e+00 -2.5590e+00 -1.6923e+00 +4.3937e+00 +2.6070e+00 +2.5939e+00 -4.9054e-01 +3.9489e+00 +2.1133e+00 +3.0951e+00 +2.3593e+00 +1.4049e+00 +2.8239e+00 +4.7018e+00 -2.7408e+00
2 +9.178251069e+07 +9.178251069e+07 +9.178188958e+07 +9.178188958e+07 +2.3813e-01 +4.1284e+00 -1.7711e-01 -2.0227e+00 -1.9236e+00 -9.9180e-01 -3.6193e+00 +2.6144e+00 +6.1391e-01 -2.4483e-01 +3.6121e-01 +1.3261e+00 +1.4626e+00 +2.6414e+00 +2.6810e+00 -3.3173e-01 +8.8874e-01 -5.0795e-01 +2.6896e+00 -2.8307e+00
713 +5.329716566e+07 +5.329716566e+07 +5.329654455e+07 +5.329654455e+07 +2.6016e-02 +2.1720e+00 -2.5528e+00 -1.1695e+00 -2.0814e+00 -3.0404e-01 +9.3505e-01 +2.2478e+00 +8.8796e-01 +6.5322e-01 +1.9834e-02 +3.7280e+00 +1.7484e+00 +3.2986e-01 -1.2132e+00 -2.2361e+00 +2.0390e-01 +3.6309e+00 +1.7776e+00 -5.7805e-01
1105 +3.616150845e+07 +3.616150845e+07 +3.616088734e+07 +3.616088734e+07 +1.1903e-01 +4.1284e+00 -1.5206e+00 -2.0227e+00 -2.3163e+00 -2.3422e+00 +9.4865e-01 +1.8120e+00 +1.3363e+00 +2.0064e+00 +3.6121e-01 +5.2174e+00 +3.1845e+00 +2.6414e+00 +6.3809e-01 -1.6639e+00 +2.8048e-01 +1.1010e+00 +3.1850e+00 -1.1768e+00
1705 +2.340259758e+07 +2.340259758e+07 +2.340197647e+07 +2.340197647e+07 -5.0932e-01 +3.4961e+00 -1.0609e+00 -2.1866e+00 +2.4786e-01 -1.5169e+00 -3.6072e-01 +1.1647e+00 +1.5072e+00 +4.0947e-01 -1.1017e+00 +3.9617e+00 +3.2686e+00 +1.1627e+00 +2.5377e+00 -1.7460e+00 +9.7476e-01 +1.3822e+00 -7.9828e-01 +7.7610e-01
1903 +1.557450010e+07 +1.557450010e+07 +1.557387899e+07 +1.557387899e+07 -1.9726e-01 +4.2714e+00 -5.7337e-01 -2.6856e+00 +2.4786e-01 -2.1241e+00 -3.6072e-01 +1.1647e+00 +1.5072e+00 +9.0909e-01 +1.3318e-01 +3.9617e+00 +3.2686e+00 +1.1627e+00 +2.3958e+00 -1.7460e+00 +9.7476e-01 +1.3822e+00 -7.9828e-01 +6.5864e-01
2305 +9.476619169e+06 +9.476619169e+06 +9.475998059e+06 +9.475998059e+06 -4.9832e-01 +2.6775e+00 -2.9788e-01 -5.4499e+00 -9.4240e-01 -1.6076e+00 +4.1384e-01 -5.1783e-01 +2.2393e+00 +3.8090e-01 -5.6479e-02 +3.5119e+00 +4.0923e+00 +1.5681e+00 +3.5269e+00 -1.6724e+00 +1.0565e+00 +1.4896e+00 -1.1089e+00 -4.7393e-01
2601 +4.307904786e+06 +4.307904786e+06 +4.307283676e+06 +4.307283676e+06 -1.2313e+00 +4.1480e+00 -1.2554e-01 -4.1076e+00 -6.0967e-01 -1.0785e+00 +2.0647e+00 -1.5484e+00 +1.1195e+00 -4.8913e-01 +8.7853e-01 +3.6593e+00 +3.5814e+00 +1.1907e+00 +2.6868e+00 -2.0901e+00 +8.6172e-01 +3.1022e+00 +7.7590e-01 -6.5420e-01
2803 +3.643260973e+06 +3.643260973e+06 +3.642639863e+06 +3.642639863e+06 -1.6008e+00 +4.6646e+00 +4.0133e-01 -4.3801e+00 -2.9059e-01 -2.7392e+00 +8.1605e-01 -2.4612e-01 +1.2952e+00 -6.6160e-01 +1.3103e+00 +2.6099e+00 +4.4894e+00 +1.7359e+00 +2.6472e+00 -1.6348e+00 +1.7856e+00 +7.9196e-01 -1.4610e-02 +1.9196e-01
3376 +2.276290920e+06 +2.276290920e+06 +2.275669810e+06 +2.275669810e+06 -7.1613e-01 +4.2402e+00 -6.5705e-02 -3.1917e+00 -1.4274e+00 -2.0984e+00 +1.5075e+00 +1.3617e-01 +8.9571e-01 -6.1504e-01 +5.3639e-01 +2.7230e+00 +3.4301e+00 +1.4222e+00 +1.9189e+00 -1.7030e+00 +5.5965e-01 +2.0060e+00 +1.2542e+00 -4.3415e-02
3802 +1.183056066e+06 +1.183056066e+06 +1.182434956e+06 +1.182434956e+06 -1.0546e+00 +3.9811e+00 +2.7124e-01 -4.1828e+00 +4.4999e-02 -2.0736e+00 +9.2987e-01 -9.7271e-01 +1.1350e+00 -1.0216e-01 +1.1724e+00 +2.8848e+00 +3.9444e+00 +1.5555e+00 +2.3927e+00 -1.8138e+00 +1.3551e+00 +2.6736e+00 +3.3014e-02 -4.4211e-01
4203 +9.481509732e+05 +9.481509732e+05 +9.475298632e+05 +9.475298632e+05 -3.8455e-01 +4.2133e+00 +2.6730e-01 -3.5409e+00 -1.1741e+00 -2.1452e+00 +1.3238e+00 -6.6859e-01 +1.2867e+00 -5.1632e-01 +8.6696e-01 +2.6187e+00 +3.6534e+00 +1.6999e+00 +2.5264e+00 -1.6896e+00 +8.9363e-01 +2.6058e+00 +6.1348e-01 +5.1917e-03
4535 +5.720044864e+05 +5.720044864e+05 +5.713833764e+05 +5.713833764e+05 -8.4922e-01 +4.2608e+00 +2.7503e-01 -3.3816e+00 -8.9315e-01 -1.8758e+00 +1.3944e+00 -6.9618e-01 +1.1079e+00 -5.6324e-01 +1.1497e+00 +3.0146e+00 +3.9050e+00 +1.6356e+00 +2.5126e+00 -1.8696e+00 +1.0027e+00 +2.1395e+00 +6.4906e-01 -5.6571e-01
5014 +3.476534255e+05 +3.476534255e+05 +3.470323155e+05 +3.470323155e+05 -1.0109e+00 +3.8024e+00 +2.0822e-01 -4.0359e+00 -3.4900e-01 -2.2596e+00 +1.2830e+00 -1.0314e+00 +1.0586e+00 -1.5193e-01 +1.0277e+00 +2.6249e+00 +3.9081e+00 +1.4338e+00 +2.5339e+00 -2.1303e+00 +1.5636e+00 +2.1858e+00 +8.4303e-02 -4.1694e-02
5503 +2.482654569e+05 +2.482654569e+05 +2.476443469e+05 +2.476443469e+05 -8.1259e-01 +3.8596e+00 +1.9104e-01 -3.6157e+00 -5.4616e-01 -1.8920e+00 +1.3807e+00 -6.9891e-01 +8.2088e-01 -2.0718e-01 +9.5595e-01 +2.7038e+00 +3.6885e+00 +1.5445e+00 +2.4609e+00 -1.7260e+00 +1.1395e+00 +2.0927e+00 +3.3308e-01 -1.0744e-01
5955 +1.543796559e+05 +1.543796559e+05 +1.537585459e+05 +1.537585459e+05 -6.9861e-01 +3.9684e+00 +1.4022e-01 -3.6969e+00 -5.1208e-01 -2.0003e+00 +1.4530e+00 -8.3852e-01 +1.1621e+00 -2.7544e-01 +9.7280e-01 +2.6726e+00 +3.6675e+00 +1.3713e+00 +2.7612e+00 -1.8876e+00 +9.6343e-01 +2.0968e+00 +4.5765e-01 -1.9725e-01
6402 +7.284527171e+04 +7.284527171e+04 +7.222416171e+04 +7.222416171e+04 -9.8113e-01 +3.9451e+00 +3.0926e-01 -3.6962e+00 -5.7915e-01 -2.0342e+00 +1.4271e+00 -7.6861e-01 +1.0661e+00 -2.2668e-01 +9.5919e-01 +2.8235e+00 +3.8523e+00 +1.4979e+00 +2.3940e+00 -1.9186e+00 +1.1524e+00 +2.0821e+00 +5.9543e-01 -1.8359e-01
6601 +5.470047926e+04 +5.470047926e+04 +5.407936926e+04 +5.407936926e+04 -9.0341e-01 +3.9451e+00 +3.0926e-01 -3.6962e+00 -5.7915e-01 -2.0342e+00 +1.4271e+00 -7.5938e-01 +1.0661e+00 -2.2668e-01 +9.5919e-01 +2.7969e+00 +3.8523e+00 +1.4979e+00 +2.3940e+00 -2.0255e+00 +1.1079e+00 +2.0821e+00 +5.9543e-01 -3.1317e-01
7341 +3.734549337e+04 +3.734549337e+04 +3.672438337e+04 +3.672438337e+04 -9.1258e-01 +3.9637e+00 +2.8136e-01 -3.8237e+00 -4.3624e-01 -2.0798e+00 +1.3847e+00 -6.8287e-01 +1.1468e+00 -3.4841e-01 +8.8175e-01 +2.8031e+00 +3.7730e+00 +1.4461e+00 +2.5000e+00 -1.9406e+00 +1.1620e+00 +2.1527e+00 +4.4408e-01 -2.3908e-01
