% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.397723651e+03 +3.397723651e+03 +4.397723651e+03 +4.397723651e+03 -1.3184e+00 -4.7241e+00 -3.1218e+00 +3.0428e+00 +9.8732e-01 +1.1497e+00 +1.9840e+00 -3.3117e+00 +3.1578e+00 -2.0759e-01 -2.5621e+00 +2.1621e+00 -3.8673e+00 +6.2025e-01 -1.3254e+00 -3.4989e+00 +4.0227e+00 -3.2959e+00 -3.5423e+00 -1.4522e+00
2 +1.695471967e+03 +1.695471967e+03 +2.695471967e+03 +2.695471967e+03 +2.0118e+00 -1.5359e+00 -4.1271e+00 +3.3721e+00 +1.8181e+00 +4.8655e+00 -2.7093e+00 +3.3156e+00 +3.0916e+00 +2.0778e+00 -1.1621e-01 +4.3340e+00 -3.2343e+00 -1.4298e+00 +3.9028e+00 +4.2315e+00 -3.5480e+00 +4.8742e+00 +2.3885e+00 +4.8519e+00
3 +1.085164533e+03 +1.085164533e+03 +2.085164533e+03 +2.085164533e+03 +3.4757e+00 -9.2134e-01 -3.1083e+00 -3.7185e+00 +3.2992e+00 -1.2411e+00 +2.2160e+00 +9.0449e-01 +3.7649e+00 -1.5528e-01 +1.5053e+00 -4.2539e+00 -4.6037e+00 -1.5980e+00 -2.1800e-01 +1.5134e+00 +1.5646e+00 +2.9392e+00 +1.0957e+00 +3.2159e+00
8 +9.327225847e+02 +9.327225847e+02 +1.932722585e+03 +1.932722585e+03 -2.6249e+00 +3.2871e+00 +2.5911e+00 -1.5717e+00 +6.6103e-02 +7.3691e-01 -1.1630e+00 +4.4707e+00 +1.9069e+00 -3.8342e+00 -3.5293e+00 +1.3286e+00 -1.2808e+00 +1.5467e+00 -9.1096e-01 +3.8010e-01 +1.1619e+00 -4.6966e+00 +1.3331e+00 +3.3565e+00
305 +5.541014537e+02 +5.541014537e+02 +1.554101454e+03 +1.554101454e+03 +2.5824e+00 +5.8809e-01 +2.6199e+00 -2.4909e+00 +3.9075e+00 -3.9946e+00 +2.8442e+00 +2.4169e-01 -2.5851e+00 +7.1375e-01 +1.3854e+00 -2.3816e+00 +1.3058e+00 -8.3029e-01 +9.3790e-01 +3.7795e+00 +1.4814e+00 -2.8550e+00 +1.1693e+00 -5.6445e-01
1115 +3.919492058e+02 +3.919492058e+02 +1.391949206e+03 +1.391949206e+03 -5.6728e+00 +4.7652e+00 +5.5863e+00 +3.0247e-03 +3.8924e+00 -5.8071e+00 +1.9750e+00 -5.4850e-02 -2.0985e+00 -2.3031e+00 +9.9677e-02 -1.9730e-01 -6.6473e-01 -2.7281e+00 +3.7205e+00 +3.5634e+00 -2.0988e-01 +8.4159e-01 -4.8877e-01 +4.5799e-01
1623 +2.104075531e+02 +2.104075531e+02 +1.210407553e+03 +1.210407553e+03 -5.7444e-01 +3.2856e+00 +2.7331e+00 +1.8098e+00 +4.5419e+00 -2.4910e+00 -5.4905e-01 +2.1961e-01 -3.4457e+00 -2.7936e-01 -2.4534e+00 -1.4193e+00 +8.6309e-01 -2.9775e+00 +1.8008e+00 +2.2202e+00 +2.9315e+00 -9.3928e-01 +1.0537e+00 -1.6838e-01
3462 +1.513175121e+02 +1.513175121e+02 +1.151317512e+03 +1.151317512e+03 -2.3578e+00 +3.0003e+00 +3.4074e+00 +1.5555e+00 +3.1959e+00 -1.8640e+00 -9.9817e-01 +4.8082e-01 -3.4994e+00 -3.2562e-01 -1.1595e+00 -2.0178e+00 +3.5023e-01 -3.3452e+00 +3.6223e+00 +3.4678e+00 +3.6088e+00 -2.6409e+00 -4.2081e-01 -1.0668e+00
15402 +9.495596439e+01 +9.495596439e+01 +1.094955964e+03 +1.094955964e+03 -3.6113e+00 +3.5651e+00 +3.7191e+00 +2.2282e+00 +2.1786e+00 -3.1041e+00 -9.9842e-01 -3.0397e-01 -1.5610e+00 -1.6281e+00 -1.6396e+00 -1.6390e+00 -3.2057e-01 -3.7857e+00 +2.8130e+00 +4.6196e+00 +2.9623e+00 +9.9787e-02 -3.1003e-01 +1.4292e-01
34419 +6.298424561e+01 +6.298424561e+01 +1.062984246e+03 +1.062984246e+03 -2.7847e+00 +2.5654e+00 +3.6036e+00 +2.6158e+00 +2.1913e+00 -2.9123e+00 -9.9431e-01 +8.4745e-01 -2.4050e+00 -1.4030e+00 -1.9890e+00 -2.2587e+00 -5.0132e-02 -4.5813e+00 +3.8187e+00 +4.2020e+00 +3.5487e+00 +3.7330e-01 -5.7354e-01 -1.5218e-01
53401 +3.963466397e+01 +3.963466397e+01 +1.039634664e+03 +1.039634664e+03 -3.3162e+00 +3.6735e+00 +3.6331e+00 +2.8102e+00 +2.6719e+00 -3.7689e+00 -1.2636e+00 -6.1758e-01 -2.3704e+00 -1.3980e+00 -1.9974e+00 -1.8519e+00 -2.4266e-01 -3.7272e+00 +2.7744e+00 +4.1051e+00 +3.9338e+00 -3.0238e-02 -5.7146e-01 -4.3577e-01
96902 +2.416303924e+01 +2.416303924e+01 +1.024163039e+03 +1.024163039e+03 -2.7644e+00 +3.2850e+00 +3.2758e+00 +2.9169e+00 +3.0718e+00 -2.5912e+00 -1.5422e+00 +5.4095e-02 -2.6071e+00 -1.9323e+00 -2.0330e+00 -1.9767e+00 -3.5568e-01 -3.7838e+00 +3.6097e+00 +2.8442e+00 +3.1076e+00 -5.3964e-01 -4.7718e-01 -5.7399e-01
144901 +1.519495112e+01 +1.519495112e+01 +1.015194951e+03 +1.015194951e+03 -2.7967e+00 +3.3216e+00 +3.3241e+00 +2.9164e+00 +3.0718e+00 -2.6127e+00 -1.5092e+00 +4.7494e-02 -2.6071e+00 -1.9050e+00 -2.0153e+00 -1.9767e+00 -3.5939e-01 -3.7873e+00 +3.6097e+00 +2.7481e+00 +3.1190e+00 -5.3964e-01 -4.2732e-01 -6.5913e-01
391301 +9.902299348e+00 +9.902299348e+00 +1.009902299e+03 +1.009902299e+03 -3.2560e+00 +3.5973e+00 +3.5974e+00 +2.8500e+00 +2.7485e+00 -3.8735e+00 -1.2926e+00 -6.3713e-01 -2.4375e+00 -1.3046e+00 -2.0012e+00 -1.7593e+00 -2.4709e-01 -3.6721e+00 +2.7475e+00 +4.0927e+00 +3.9634e+00 -1.5021e-01 -5.4669e-01 -4.4364e-01
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.462252260e+02 +9.462252260e+02 +1.016255226e+03 +1.016255226e+03 -3.9220e+00 -1.9710e+00 -2.9438e+00 +1.6689e+00 -2.0575e+00 +3.5818e+00 -5.1027e-01 +1.9268e+00 +2.2694e+00 -1.1577e+00 +3.4188e+00 -3.3733e+00 +3.7944e+00 +3.7826e+00 +2.3050e+00 -2.9030e+00 -2.9093e+00 +2.6664e-01 -2.8261e+00 +3.1393e+00
38 +5.783973349e+02 +5.783973349e+02 +6.484273349e+02 +6.484273349e+02 -3.5126e+00 +5.0388e-02 +2.0085e-01 -3.2040e+00 -1.3628e+00 -4.6411e+00 -4.1011e+00 +2.8530e+00 -3.8690e+00 +3.1342e-01 +2.6355e+00 -3.0776e+00 -8.4699e-02 +1.6550e+00 -1.5279e+00 -3.4268e+00 +9.9873e-01 +3.4162e+00 -2.3414e+00 -3.9479e-01
